city,Date,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN
Sharkia,2025-03-01,14.47,6.43,10.45,15.03,15.1,22.58,7.48,5.94,63.17,0.0,101.54,2.94,4.61,0.88
Sharkia,2025-03-02,14.91,7.75,11.33,15.4,15.43,23.26,7.83,6.56,68.31,0.11,101.54,3.28,4.79,1.48
Sharkia,2025-03-03,14.61,7.81,11.21,14.98,12.97,21.46,8.49,6.61,68.97,0.03,100.87,2.63,3.64,1.59
Sharkia,2025-03-04,15.06,8.43,11.75,15.84,13.75,22.45,8.7,6.93,69.74,0.17,100.54,3.34,5.49,2.33
Sharkia,2025-03-05,15.21,7.34,11.28,16.04,14.59,23.21,8.62,6.43,64.76,0.59,100.88,3.5,5.32,2.41
Sharkia,2025-03-06,15.21,9.27,12.24,15.47,11.77,21.43,9.66,7.27,71.25,1.06,101.1,2.58,4.61,0.57
Sharkia,2025-03-07,15.89,8.5,12.19,16.68,13.94,23.3,9.36,6.94,66.43,0.02,101.03,3.16,4.28,1.69
Sharkia,2025-03-08,16.63,5.89,11.26,17.65,16.23,25.76,9.53,6.08,57.79,0.03,100.86,2.77,3.76,1.77
Sharkia,2025-03-09,17.38,5.93,11.65,18.61,14.6,26.01,11.41,5.97,56.16,0.0,100.91,1.82,4.02,0.52
Sharkia,2025-03-10,17.54,6.75,12.14,18.67,16.6,26.77,10.17,6.15,56.46,0.0,101.27,3.39,6.04,1.32
Sharkia,2025-03-11,17.01,7.96,12.49,18.15,17.86,26.79,8.93,6.76,64.63,0.0,101.43,3.49,4.71,2.48
Sharkia,2025-03-12,18.96,8.56,13.76,19.89,20.72,30.59,9.87,7.3,62.4,0.0,101.13,3.44,4.95,2.56
Sharkia,2025-03-13,22.86,4.12,13.49,23.34,21.07,34.06,12.99,5.51,42.02,0.0,100.77,1.56,2.45,0.47
Sharkia,2025-03-14,23.34,6.82,15.08,23.91,18.92,34.02,15.1,6.35,42.47,0.0,100.97,2.97,5.37,1.37
Sharkia,2025-03-15,21.4,9.83,15.62,22.21,19.56,32.54,12.98,7.97,58.97,0.0,101.2,3.79,6.2,2.27
Sharkia,2025-03-16,23.65,11.33,17.49,24.6,21.83,35.93,14.1,8.72,56.6,0.0,101.05,3.54,4.96,2.41
Sharkia,2025-03-17,24.43,5.78,15.1,25.18,20.89,35.93,15.04,5.98,38.77,0.02,100.68,2.23,3.71,0.85
Sharkia,2025-03-18,22.11,10.58,16.35,23.46,17.3,31.95,14.65,8.15,56.0,0.09,100.65,3.72,6.16,0.73
Sharkia,2025-03-19,18.5,8.26,13.38,20.03,14.89,27.52,12.63,6.85,57.55,0.01,101.05,4.95,9.65,1.73
Sharkia,2025-03-20,15.5,2.39,8.95,16.6,9.57,21.81,12.24,4.51,43.87,0.01,101.35,7.33,10.87,3.92
Sharkia,2025-03-21,14.57,2.94,8.75,15.86,12.91,21.21,8.3,4.64,47.93,0.17,101.49,4.26,7.36,2.01
Sharkia,2025-03-22,14.5,3.94,9.22,16.09,12.96,21.85,8.89,5.01,53.73,0.02,101.61,3.62,5.56,2.05
Sharkia,2025-03-23,15.62,5.07,10.35,16.53,15.26,24.16,8.9,5.4,55.03,0.0,101.94,3.97,6.56,1.9
Sharkia,2025-03-24,16.87,6.64,11.75,17.95,18.09,26.8,8.71,6.14,60.67,0.0,102.04,4.84,7.11,2.66
Sharkia,2025-03-25,19.87,8.86,14.37,20.98,20.83,31.58,10.75,7.15,59.74,0.0,101.64,4.68,7.2,2.37
Sharkia,2025-03-26,21.86,9.33,15.59,23.06,21.81,33.76,11.95,7.52,57.08,0.0,100.91,3.97,5.71,2.4
Sharkia,2025-03-27,26.69,2.83,14.76,27.2,22.39,38.24,15.85,4.98,30.49,0.0,100.27,3.15,5.04,1.49
Sharkia,2025-03-28,25.36,3.45,14.41,25.95,20.67,36.12,15.45,5.19,30.41,0.0,100.18,5.69,8.63,2.63
Sharkia,2025-03-29,19.37,7.94,13.66,21.36,13.79,27.24,13.45,6.72,52.98,0.0,100.55,3.61,6.17,1.45
Sharkia,2025-03-30,20.41,3.69,12.05,21.59,17.44,28.76,11.32,5.18,42.15,0.0,100.49,2.01,3.3,0.56
Sharkia,2025-03-31,23.25,-1.77,10.74,24.03,16.45,31.84,15.39,3.38,21.9,0.0,100.32,4.89,7.31,3.14
South Sinai,2025-03-01,8.01,-0.03,3.99,9.39,14.11,15.8,1.69,4.24,63.92,0.0,90.7,4.5,6.28,2.66
South Sinai,2025-03-02,11.37,-1.85,4.76,13.05,16.72,20.93,4.21,3.84,49.87,0.01,90.72,3.49,6.12,0.68
South Sinai,2025-03-03,13.41,-6.6,3.41,13.05,14.27,21.57,7.3,2.58,26.71,0.0,90.19,3.31,6.45,1.53
South Sinai,2025-03-04,12.83,-1.44,5.69,13.88,14.54,20.83,6.29,4.0,43.2,0.0,89.74,2.95,6.7,0.27
South Sinai,2025-03-05,10.78,1.07,5.93,13.29,11.33,17.89,6.56,4.76,59.38,0.03,90.08,3.83,5.09,3.02
South Sinai,2025-03-06,10.34,4.73,7.53,12.14,10.26,16.36,6.1,5.94,71.71,0.54,90.25,5.41,7.2,4.1
South Sinai,2025-03-07,9.1,4.96,7.03,10.11,7.28,13.05,5.77,6.02,76.81,0.38,90.26,5.21,8.63,2.39
