city,datetime,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Cairo,2025-04-04 03:00:00,2.0,290.39,0.0,20.56,58.65,29.56,20.37,35.63,10.51
Cairo,2025-04-04 04:00:00,2.0,317.1,0.0,25.36,47.92,23.13,22.71,38.93,9.5
Cairo,2025-04-04 05:00:00,3.0,347.14,0.01,32.22,38.62,22.17,25.2,42.7,7.85
Cairo,2025-04-04 06:00:00,3.0,397.21,0.14,44.55,26.46,25.75,27.6,46.44,7.22
Cairo,2025-04-04 07:00:00,3.0,520.71,12.18,61.69,13.77,39.1,32.1,52.36,9.88
Cairo,2025-04-04 08:00:00,3.0,580.79,32.19,59.63,24.32,57.22,35.05,55.02,16.09
Cairo,2025-04-04 09:00:00,3.0,393.87,15.2,38.73,56.51,92.51,22.79,37.69,11.27
Cairo,2025-04-04 10:00:00,3.0,370.5,13.52,33.24,67.95,100.14,21.52,35.3,13.17
Cairo,2025-04-04 11:00:00,3.0,333.79,9.5,25.7,82.25,90.6,22.54,35.73,16.09
Cairo,2025-04-04 12:00:00,3.0,287.06,4.53,15.42,105.86,61.99,19.77,32.67,13.43
Cairo,2025-04-04 13:00:00,3.0,273.7,2.91,11.82,124.45,51.98,18.1,31.9,10.51
Cairo,2025-04-04 14:00:00,3.0,273.7,2.46,11.65,135.9,51.98,18.73,33.23,10.39
Cairo,2025-04-04 15:00:00,4.0,270.37,2.07,11.65,143.05,48.64,18.23,33.21,10.13
Cairo,2025-04-04 16:00:00,4.0,273.7,1.87,13.71,143.05,49.11,17.73,33.57,9.75
Cairo,2025-04-04 17:00:00,3.0,280.38,1.44,19.02,135.9,52.45,17.03,33.84,9.88
Cairo,2025-04-04 18:00:00,3.0,287.06,0.31,22.96,127.32,54.84,16.22,33.51,11.02
Cairo,2025-04-04 19:00:00,3.0,280.38,0.0,17.99,125.89,45.3,14.65,31.03,14.57
Cairo,2025-04-04 20:00:00,3.0,273.7,0.0,14.39,125.89,33.38,11.78,26.07,18.75
Cairo,2025-04-04 21:00:00,3.0,273.7,0.0,13.88,113.01,26.23,7.17,18.11,20.27
Cairo,2025-04-04 22:00:00,2.0,277.04,0.0,14.74,98.71,26.23,4.91,14.26,18.24
Cairo,2025-04-04 23:00:00,2.0,277.04,0.0,14.39,94.41,26.94,4.96,15.89,13.43
Cairo,2025-04-05 00:00:00,2.0,287.06,0.0,15.94,90.12,22.65,6.19,20.71,9.88
Cairo,2025-04-05 01:00:00,2.0,297.07,0.0,16.28,85.83,18.6,7.72,26.35,8.11
Cairo,2025-04-05 02:00:00,2.0,293.73,0.0,14.74,84.4,17.17,8.95,32.02,6.78
Cairo,2025-04-06 03:00:00,4.0,131.97,0.0,5.74,52.39,3.37,26.98,107.93,46.76
Cairo,2025-04-06 04:00:00,4.0,129.32,0.0,4.57,56.66,3.01,27.14,110.25,41.01
Cairo,2025-04-06 05:00:00,4.0,125.36,0.0,3.48,61.27,2.44,26.57,108.66,34.62
Cairo,2025-04-06 06:00:00,4.0,121.66,0.0,2.58,66.44,1.87,25.74,108.0,27.28
Cairo,2025-04-06 07:00:00,4.0,120.32,0.02,2.39,70.03,1.63,25.03,104.9,22.89
Cairo,2025-04-06 08:00:00,4.0,120.82,0.13,2.31,72.72,1.61,24.76,105.2,20.05
Cairo,2025-04-06 09:00:00,4.0,120.53,0.3,2.08,76.2,1.6,25.06,109.78,17.18
Cairo,2025-04-06 10:00:00,4.0,117.13,0.36,1.51,81.07,1.42,26.26,119.12,13.49
Cairo,2025-04-06 11:00:00,4.0,112.22,0.27,0.97,87.61,1.04,31.68,159.97,9.3
Cairo,2025-04-06 12:00:00,5.0,108.77,0.1,0.39,96.52,0.32,36.11,208.45,2.9
Cairo,2025-04-06 13:00:00,5.0,106.99,0.07,0.26,97.16,0.18,36.78,221.71,1.81
Cairo,2025-04-06 14:00:00,5.0,106.74,0.06,0.27,97.15,0.2,36.33,220.27,1.94
Cairo,2025-04-06 15:00:00,5.0,109.08,0.06,0.29,98.29,0.26,34.16,201.79,2.36
Cairo,2025-04-06 16:00:00,4.0,110.96,0.05,0.3,99.7,0.33,30.28,172.35,2.81
Cairo,2025-04-06 17:00:00,4.0,113.12,0.03,0.34,101.35,0.43,27.03,147.39,3.32
Cairo,2025-04-06 18:00:00,4.0,114.91,0.02,0.65,100.92,0.74,25.22,130.53,6.69
Cairo,2025-04-06 19:00:00,4.0,118.4,0.0,1.02,102.15,1.31,24.79,121.16,11.03
Cairo,2025-04-06 20:00:00,4.0,121.66,0.0,1.18,106.73,2.16,24.25,111.36,13.73
Cairo,2025-04-06 21:00:00,3.0,123.4,0.0,1.3,111.38,3.33,22.6,96.76,15.48
Cairo,2025-04-06 22:00:00,3.0,128.07,0.0,1.64,115.41,4.71,19.88,79.83,17.08
Cairo,2025-04-06 23:00:00,3.0,133.57,0.0,2.35,112.0,5.48,15.71,60.43,18.99
Cairo,2025-04-07 00:00:00,3.0,137.66,0.0,3.34,100.0,6.02,11.61,44.98,21.3
Cairo,2025-04-07 01:00:00,2.0,144.57,0.0,4.6,90.99,7.39,10.36,39.53,25.91
Cairo,2025-04-07 02:00:00,2.0,151.52,0.0,5.79,84.67,9.14,11.05,39.57,30.23
Cairo,2025-04-07 03:00:00,2.0,155.75,0.0,6.49,79.41,10.2,12.36,40.99,33.34
Cairo,2025-04-07 04:00:00,2.0,159.91,0.0,6.84,76.15,10.23,14.03,43.24,35.79
Cairo,2025-04-07 05:00:00,2.0,162.47,0.0,6.83,74.02,9.27,15.78,45.84,37.44
Cairo,2025-04-07 06:00:00,2.0,162.0,0.0,6.57,71.97,7.96,17.07,48.86,37.29
Cairo,2025-04-07 07:00:00,3.0,161.72,0.28,7.03,73.01,7.34,17.74,53.16,36.25
Cairo,2025-04-07 08:00:00,3.0,162.53,1.13,6.13,77.5,7.23,18.42,58.67,34.72
Cairo,2025-04-07 09:00:00,3.0,162.14,1.4,5.21,85.77,7.21,20.22,66.52,32.16
Cairo,2025-04-07 10:00:00,3.0,158.97,1.09,4.01,98.11,7.04,23.12,74.84,29.12
Cairo,2025-04-07 11:00:00,3.0,154.78,0.62,2.67,114.23,6.86,25.4,81.86,25.8
Cairo,2025-04-07 12:00:00,3.0,138.54,0.22,1.13,128.12,4.99,20.72,82.26,14.78
Cairo,2025-04-07 13:00:00,3.0,129.34,0.14,0.74,129.74,3.8,20.15,79.73,10.5
Cairo,2025-04-07 14:00:00,3.0,125.11,0.12,0.68,130.02,3.32,19.68,76.42,9.3
Cairo,2025-04-07 15:00:00,3.0,123.66,0.09,0.78,129.14,3.04,18.91,72.96,8.88
Cairo,2025-04-07 16:00:00,3.0,122.39,0.07,1.06,124.92,2.98,18.4,72.19,9.62
