city,datetime,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Cairo,2025-03-01 00:00:00,3.0,627.52,4.75,93.22,5.01,74.39,30.96,56.3,18.75
Cairo,2025-03-01 01:00:00,3.0,680.92,12.52,94.59,0.1,56.27,33.38,57.82,16.09
Cairo,2025-03-01 02:00:00,3.0,687.6,15.87,90.48,0.01,41.96,33.81,58.69,15.96
Cairo,2025-03-01 03:00:00,3.0,627.52,13.97,79.51,0.06,27.89,31.37,59.58,17.73
Cairo,2025-03-01 04:00:00,3.0,514.03,6.48,63.75,0.84,17.88,27.6,63.47,17.73
Cairo,2025-03-01 05:00:00,3.0,400.54,1.2,45.93,7.42,12.76,26.38,75.89,15.71
Cairo,2025-03-01 06:00:00,3.0,320.43,0.03,28.1,33.62,12.16,28.68,99.64,11.02
Cairo,2025-03-01 07:00:00,4.0,343.8,0.26,35.64,35.05,16.21,29.57,102.46,8.99
Cairo,2025-03-01 08:00:00,3.0,400.54,8.05,45.93,33.26,19.31,27.66,88.69,7.92
Cairo,2025-03-01 09:00:00,3.0,410.56,14.53,40.78,44.7,20.98,23.35,71.55,7.66
Cairo,2025-03-01 10:00:00,3.0,393.87,14.19,33.93,52.21,24.08,20.08,58.59,10.13
Cairo,2025-03-01 11:00:00,2.0,343.8,9.5,24.68,64.37,28.85,17.21,44.44,14.06
Cairo,2025-03-01 12:00:00,2.0,270.37,3.13,12.0,95.84,35.29,8.93,17.43,6.52
Cairo,2025-03-01 13:00:00,3.0,263.69,2.07,10.02,105.86,30.99,6.34,10.55,4.94
Cairo,2025-03-01 14:00:00,3.0,260.35,1.87,10.45,107.29,31.95,5.61,8.62,5.83
Cairo,2025-03-01 15:00:00,3.0,257.02,2.12,9.51,111.58,29.33,5.03,7.53,7.28
Cairo,2025-03-01 16:00:00,3.0,257.02,1.93,11.31,111.58,30.52,4.55,6.87,8.99
Cairo,2025-03-01 17:00:00,3.0,263.69,1.45,15.42,105.86,33.38,3.96,6.2,10.39
Cairo,2025-03-01 18:00:00,2.0,280.38,0.23,22.28,94.41,40.53,3.72,6.1,13.05
Cairo,2025-03-01 19:00:00,2.0,293.73,0.0,24.68,82.97,41.01,3.68,6.49,18.24
Cairo,2025-03-01 20:00:00,2.0,300.41,0.0,24.33,76.53,35.29,3.48,6.65,23.05
Cairo,2025-03-01 21:00:00,2.0,303.75,0.0,23.99,72.24,32.42,3.49,7.06,26.35
Cairo,2025-03-01 22:00:00,2.0,303.75,0.0,25.02,67.95,31.95,4.19,8.47,28.88
Cairo,2025-03-01 23:00:00,2.0,300.41,0.0,23.99,67.95,29.33,4.95,9.98,28.63
Cairo,2025-03-02 00:00:00,2.0,307.08,0.0,24.68,64.37,22.89,6.37,12.64,27.87
Cairo,2025-03-02 01:00:00,1.0,317.1,0.0,26.39,57.94,17.64,8.26,16.24,27.36
Cairo,2025-03-02 02:00:00,1.0,317.1,0.0,24.33,56.51,15.5,9.86,19.92,22.04
Cairo,2025-03-02 03:00:00,2.0,323.77,0.0,24.33,52.21,14.66,11.35,23.53,15.96
Cairo,2025-03-02 04:00:00,2.0,333.79,0.0,26.73,45.42,14.19,12.66,26.88,11.27
Cairo,2025-03-02 05:00:00,2.0,350.48,0.01,30.5,37.55,14.07,13.89,30.63,8.23
Cairo,2025-03-02 06:00:00,2.0,377.18,0.07,37.7,28.25,15.5,15.26,35.39,7.03
Cairo,2025-03-02 07:00:00,2.0,460.62,3.86,56.89,10.46,24.08,19.14,43.37,8.11
Cairo,2025-03-02 08:00:00,3.0,560.76,26.82,56.89,15.2,32.9,24.29,52.23,10.39
Cairo,2025-03-02 09:00:00,3.0,567.44,33.53,50.72,27.89,38.15,25.67,58.91,12.03
Cairo,2025-03-02 10:00:00,3.0,567.44,32.63,48.67,38.27,41.96,26.82,65.6,12.41
Cairo,2025-03-02 11:00:00,3.0,507.35,23.02,42.84,55.07,41.01,25.95,70.31,11.15
Cairo,2025-03-02 12:00:00,2.0,307.08,6.09,19.02,95.84,47.21,12.0,42.99,3.8
Cairo,2025-03-02 13:00:00,3.0,273.7,3.58,13.37,110.15,43.39,9.77,33.32,2.44
Cairo,2025-03-02 14:00:00,3.0,267.03,2.82,12.0,118.73,40.05,9.54,31.75,2.25
Cairo,2025-03-02 15:00:00,3.0,267.03,2.54,13.02,118.73,41.01,9.35,30.38,2.47
Cairo,2025-03-02 16:00:00,3.0,273.7,2.37,16.28,115.87,42.92,9.4,30.48,2.98
Cairo,2025-03-02 17:00:00,3.0,283.72,1.59,21.93,108.72,42.44,9.43,31.28,3.45
Cairo,2025-03-02 18:00:00,2.0,303.75,0.27,28.1,97.27,39.58,9.64,33.02,4.24
Cairo,2025-03-02 19:00:00,2.0,313.76,0.0,27.76,90.84,37.19,9.84,35.07,5.0
Cairo,2025-03-02 20:00:00,2.0,313.76,0.0,24.68,90.12,36.24,10.03,37.3,5.13
Cairo,2025-03-02 21:00:00,2.0,303.75,0.0,20.91,95.84,32.9,11.37,40.45,4.94
Cairo,2025-03-02 22:00:00,2.0,297.07,0.0,19.71,98.71,31.47,13.5,42.88,5.57
Cairo,2025-03-02 23:00:00,2.0,290.39,0.0,18.34,97.27,25.99,13.94,41.54,5.64
Cairo,2025-03-03 00:00:00,2.0,287.06,0.0,16.96,94.41,18.12,12.83,39.37,5.38
Cairo,2025-03-03 01:00:00,2.0,290.39,0.0,16.96,89.41,14.66,12.6,39.25,5.51
Cairo,2025-03-03 02:00:00,2.0,293.73,0.0,15.77,85.83,14.07,12.73,40.5,4.88
Cairo,2025-03-03 03:00:00,2.0,297.07,0.0,15.25,81.54,14.07,13.16,42.15,4.12
Cairo,2025-03-03 04:00:00,2.0,303.75,0.0,16.11,75.1,14.31,13.92,43.75,3.45
Cairo,2025-03-03 05:00:00,2.0,317.1,0.0,18.68,67.23,14.66,15.22,46.44,2.98
Cairo,2025-03-03 06:00:00,3.0,337.12,0.0,24.68,56.51,16.93,17.14,50.49,3.07
Cairo,2025-03-03 07:00:00,3.0,410.56,0.22,45.24,35.41,26.23,21.04,58.18,4.05
Cairo,2025-03-03 08:00:00,3.0,514.03,10.06,63.06,20.38,37.19,26.66,67.75,5.64
Cairo,2025-03-03 09:00:00,3.0,580.79,25.48,61.01,29.68,46.25,30.89,76.92,7.28
Cairo,2025-03-03 10:00:00,3.0,600.81,31.29,61.01,36.48,54.36,34.02,83.53,8.61
Cairo,2025-03-03 11:00:00,3.0,540.73,25.26,54.15,50.07,61.99,35.82,88.05,8.61
Cairo,2025-03-03 12:00:00,3.0,330.45,7.93,28.45,92.98,76.29,24.84,65.27,4.12
Cairo,2025-03-03 13:00:00,3.0,300.41,5.87,23.65,107.29,80.11,21.18,54.58,3.96
Cairo,2025-03-03 14:00:00,3.0,300.41,5.25,23.99,114.44,83.92,21.7,53.34,4.43
Cairo,2025-03-03 15:00:00,3.0,293.73,4.02,24.33,118.73,82.97,20.81,49.84,5.38
Cairo,2025-03-03 16:00:00,3.0,297.07,2.68,26.05,118.73,80.11,22.4,49.53,7.41
Cairo,2025-03-03 17:00:00,3.0,307.08,1.15,30.5,113.01,72.48,22.9,46.09,10.77
Cairo,2025-03-03 18:00:00,3.0,310.42,0.1,30.16,107.29,57.7,20.91,38.14,14.69
Cairo,2025-03-03 19:00:00,3.0,303.75,0.0,25.02,104.43,44.35,17.95,29.58,17.73
Cairo,2025-03-03 20:00:00,3.0,290.39,0.0,21.08,100.14,37.19,14.01,22.5,18.75
Cairo,2025-03-03 21:00:00,2.0,287.06,0.0,19.19,91.55,34.81,9.92,17.15,16.21
