city,Date,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN
Sharkia,2025-05-01,21.8,7.57,14.69,24.07,15.63,29.54,13.91,6.59,46.11,0.0,100.57,3.39,5.95,0.72
Sharkia,2025-05-02,21.92,6.69,14.31,23.63,13.47,29.04,15.57,6.34,43.82,0.0,100.58,4.06,8.02,0.44
Sharkia,2025-05-03,20.87,10.48,15.67,23.01,12.55,27.3,14.75,7.9,54.99,0.03,100.66,3.88,6.33,1.9
Sharkia,2025-05-04,20.16,10.02,15.09,22.11,11.73,26.27,14.54,7.66,55.67,0.02,100.74,3.4,6.2,1.6
Sharkia,2025-05-05,22.29,6.72,14.51,24.69,17.96,31.16,13.2,6.26,44.86,0.0,100.95,3.05,5.09,1.82
Sharkia,2025-05-06,25.59,2.77,14.18,27.9,18.32,35.05,16.73,4.82,29.27,0.0,101.09,3.05,6.0,1.59
Sharkia,2025-05-07,25.44,6.95,16.19,27.54,19.97,36.05,16.08,6.34,38.08,0.0,101.01,4.16,7.17,2.43
Sharkia,2025-05-08,25.36,9.42,17.39,27.3,20.23,35.64,15.41,7.65,47.08,0.0,100.71,4.34,6.91,2.21
Sharkia,2025-05-09,27.13,10.46,18.79,29.05,20.79,38.33,17.54,8.4,47.86,0.0,100.72,3.92,7.21,1.7
Sharkia,2025-05-10,27.37,6.86,17.12,28.78,19.3,37.64,18.34,6.37,33.8,0.0,100.68,3.4,6.68,1.15
Sharkia,2025-05-11,31.49,3.36,17.43,33.28,21.51,41.77,20.26,4.91,20.24,0.0,100.34,3.67,7.21,2.0
Sharkia,2025-05-12,26.21,10.29,18.25,28.44,14.99,34.83,19.84,8.1,42.53,0.0,100.35,5.1,7.42,1.59
Sharkia,2025-05-13,28.79,9.3,19.05,30.13,17.97,38.4,20.43,7.41,33.64,0.0,100.21,6.36,10.83,1.3
Sharkia,2025-05-14,24.65,11.29,17.97,27.27,15.17,32.83,17.66,8.53,49.9,0.0,100.7,4.17,6.91,1.75
Sharkia,2025-05-15,23.84,9.3,16.57,27.58,17.24,32.78,15.54,7.5,48.1,0.0,100.97,2.44,6.07,0.81
Sharkia,2025-05-16,27.64,7.5,17.57,29.79,21.08,38.47,17.39,6.64,35.92,0.0,100.75,4.29,7.35,0.84
Sharkia,2025-05-17,32.54,5.66,19.1,34.06,21.93,44.22,22.29,6.04,24.25,0.0,100.61,4.95,10.47,2.8
Sharkia,2025-05-18,26.55,14.03,20.29,28.34,15.28,35.4,20.12,10.06,51.5,0.0,101.12,5.09,8.05,2.18
Sharkia,2025-05-19,24.07,10.19,17.13,26.42,16.01,33.04,17.03,7.93,48.98,0.0,101.16,4.99,7.11,2.31
Sharkia,2025-05-20,22.86,7.91,15.39,25.07,18.32,32.61,14.29,6.78,46.01,0.0,100.96,4.56,7.48,1.98
Sharkia,2025-05-21,23.12,9.19,16.15,25.31,16.98,32.34,15.36,7.38,48.53,0.02,100.79,4.25,6.67,2.01
Sharkia,2025-05-22,24.44,9.87,17.15,26.68,19.4,34.69,15.29,7.79,48.51,0.47,100.67,3.89,6.78,1.59
Sharkia,2025-05-23,26.64,7.18,16.91,28.69,22.64,38.06,15.42,6.57,39.0,0.0,100.63,3.98,8.16,1.87
Sharkia,2025-05-24,28.93,6.51,17.72,30.31,20.25,40.02,19.77,6.13,29.22,0.0,100.52,3.54,9.31,0.54
Sharkia,2025-05-25,30.3,7.49,18.89,31.63,18.58,40.52,21.94,6.55,28.31,0.0,100.4,3.44,7.31,0.1
Sharkia,2025-05-26,30.52,7.88,19.2,32.45,22.61,43.81,21.2,6.96,31.07,0.02,100.19,5.83,10.48,2.06
Sharkia,2025-05-27,25.27,11.51,18.39,27.55,15.45,34.04,18.59,8.63,47.33,3.14,100.6,5.74,8.38,2.34
Sharkia,2025-05-28,24.53,8.82,16.68,26.88,18.07,34.14,16.07,7.14,42.69,0.0,100.72,4.26,7.98,1.52
Sharkia,2025-05-29,26.03,7.5,16.76,28.06,17.7,34.52,16.82,6.52,34.91,0.03,100.63,3.64,5.93,0.44
Sharkia,2025-05-30,26.68,9.26,17.97,29.48,16.8,34.99,18.19,7.58,41.28,0.02,100.45,3.26,6.91,0.88
Sharkia,2025-05-31,26.71,11.44,19.07,28.89,16.02,34.86,18.84,8.67,46.02,0.0,100.32,5.63,7.76,3.53
South Sinai,2025-05-01,17.55,1.61,9.58,20.47,13.59,25.06,11.47,5.16,42.77,0.0,90.07,4.5,6.76,2.55
South Sinai,2025-05-02,16.45,0.61,8.53,19.26,12.25,22.89,10.64,4.48,37.28,0.0,90.15,3.83,6.32,1.49
South Sinai,2025-05-03,16.97,0.63,8.8,19.57,12.34,23.39,11.05,4.52,36.45,0.0,90.13,4.09,6.16,1.09
South Sinai,2025-05-04,14.86,6.52,10.69,18.27,10.66,20.67,10.01,6.77,61.46,0.3,90.15,3.49,6.29,1.14
South Sinai,2025-05-05,16.49,2.62,9.55,19.75,15.04,24.12,9.08,5.25,46.46,0.0,90.46,3.35,5.32,1.56
South Sinai,2025-05-06,19.43,-3.57,7.93,22.01,16.2,27.8,11.6,3.31,24.95,0.0,90.69,3.23,4.6,1.48
South Sinai,2025-05-07,21.96,-1.06,10.45,25.15,17.43,30.77,13.34,3.9,22.93,0.0,90.53,4.41,6.13,3.09
South Sinai,2025-05-08,23.42,-1.84,10.79,26.56,19.25,33.36,14.11,3.82,23.26,0.0,90.23,4.93,7.57,1.14
South Sinai,2025-05-09,24.56,-0.55,12.01,27.36,17.32,33.66,16.34,4.16,22.92,0.0,90.33,5.22,7.24,2.74
South Sinai,2025-05-10,24.88,-0.55,12.17,27.57,16.98,33.99,17.01,4.07,21.11,0.0,90.37,4.68,6.81,1.48
South Sinai,2025-05-11,25.73,-1.06,12.33,27.24,16.65,33.19,16.54,3.91,18.89,0.0,90.28,4.73,7.81,0.65
South Sinai,2025-05-12,23.7,2.04,12.87,25.77,12.87,30.03,17.16,4.95,24.95,0.0,90.05,4.78,8.18,1.59
South Sinai,2025-05-13,23.43,4.06,13.75,25.41,14.68,30.25,15.57,5.66,29.71,0.0,90.13,6.19,12.72,2.13
South Sinai,2025-05-14,20.69,4.22,12.46,23.37,12.31,27.05,14.74,5.89,38.22,0.0,90.26,4.8,8.14,1.5
South Sinai,2025-05-15,19.95,0.22,10.09,23.37,18.98,29.97,10.99,4.8,38.42,0.0,90.48,3.68,7.01,2.2
South Sinai,2025-05-16,25.52,-2.19,11.66,28.27,20.19,35.84,15.65,3.6,17.92,0.0,90.5,3.32,5.41,1.33
South Sinai,2025-05-17,30.69,-1.21,14.74,32.87,17.53,39.28,21.75,3.88,13.15,0.0,90.51,2.86,5.19,1.58
South Sinai,2025-05-18,29.19,4.17,16.68,32.07,20.1,40.28,20.18,5.84,24.83,0.0,90.59,5.13,9.14,1.4
South Sinai,2025-05-19,25.75,4.14,14.94,29.13,18.84,35.9,17.06,5.88,30.59,0.0,90.52,5.42,6.97,3.83
South Sinai,2025-05-20,24.55,0.72,12.63,27.31,18.66,33.1,14.44,4.57,24.24,0.0,90.27,4.43,6.73,1.28
South Sinai,2025-05-21,22.18,1.47,11.83,25.61,20.38,32.59,12.21,4.86,32.32,0.03,90.15,4.45,6.39,1.5
South Sinai,2025-05-22,24.74,-0.78,11.98,26.98,18.83,34.58,15.75,4.27,23.66,0.0,90.11,3.17,6.11,0.38
South Sinai,2025-05-23,20.91,0.75,10.83,23.52,17.11,29.47,12.36,4.59,31.48,0.0,90.23,6.76,8.51,4.87
South Sinai,2025-05-24,22.84,-0.52,11.16,25.25,16.85,31.22,14.37,4.08,23.5,0.0,90.23,6.12,7.92,3.6
South Sinai,2025-05-25,24.92,-3.0,10.96,27.1,16.79,33.13,16.34,3.41,17.15,0.0,90.15,5.76,9.41,3.36
South Sinai,2025-05-26,28.82,-1.81,13.51,30.4,17.65,37.4,19.75,3.89,16.48,0.0,90.07,3.98,5.94,1.95
South Sinai,2025-05-27,22.63,6.21,14.42,26.0,15.42,30.47,15.05,6.97,41.46,0.0,90.12,5.32,7.42,2.48
South Sinai,2025-05-28,19.97,3.59,11.78,23.32,17.26,28.78,11.52,5.72,42.07,0.0,90.24,5.32,7.61,3.26
South Sinai,2025-05-29,20.37,0.63,10.5,23.38,16.09,28.17,12.08,4.47,30.4,0.0,90.28,4.44,6.53,2.3
South Sinai,2025-05-30,22.59,0.36,11.47,24.89,13.47,29.27,15.8,4.37,24.8,0.0,90.17,2.73,5.23,0.65
South Sinai,2025-05-31,23.09,0.67,11.88,24.77,13.32,29.59,16.27,4.45,24.01,0.0,90.12,4.44,7.74,0.58
Kafr El Sheikh,2025-05-01,21.2,9.29,15.25,23.29,15.5,29.2,13.7,7.35,53.31,0.0,101.09,3.8,6.65,0.34
Kafr El Sheikh,2025-05-02,21.33,8.34,14.83,23.08,14.57,28.85,14.28,7.0,50.63,0.0,101.08,4.77,8.26,1.33
Kafr El Sheikh,2025-05-03,20.28,11.54,15.91,22.27,10.67,26.08,15.41,8.43,60.45,0.03,101.19,4.15,6.58,1.97
Kafr El Sheikh,2025-05-04,19.71,11.45,15.58,21.5,11.08,25.24,14.16,8.38,62.69,0.01,101.28,3.84,6.39,1.99
Kafr El Sheikh,2025-05-05,22.25,7.85,15.05,24.35,18.06,31.59,13.53,6.74,48.55,0.0,101.46,3.48,6.23,0.86
Kafr El Sheikh,2025-05-06,25.32,3.87,14.6,27.59,19.77,35.85,16.08,5.19,32.31,0.0,101.61,3.36,6.27,0.99
Kafr El Sheikh,2025-05-07,25.42,8.45,16.94,27.64,20.45,36.44,15.99,7.02,42.89,0.0,101.55,3.9,6.56,2.5
Kafr El Sheikh,2025-05-08,26.2,9.35,17.77,28.33,20.91,36.86,15.95,7.65,45.8,0.0,101.25,4.22,6.72,2.57
Kafr El Sheikh,2025-05-09,28.19,9.42,18.8,30.26,21.05,39.54,18.49,8.06,44.1,0.0,101.25,3.73,6.31,2.11
Kafr El Sheikh,2025-05-10,27.67,9.07,18.37,29.36,20.26,39.04,18.78,7.47,39.96,0.0,101.18,3.77,7.14,2.44
Kafr El Sheikh,2025-05-11,30.84,5.18,18.01,32.83,22.96,42.86,19.9,5.79,26.05,0.0,100.84,4.5,8.05,1.8
Kafr El Sheikh,2025-05-12,25.02,11.68,18.35,27.29,13.54,33.24,19.7,8.75,48.3,0.0,100.89,5.39,8.52,1.48
Kafr El Sheikh,2025-05-13,27.18,11.03,19.11,28.83,17.13,37.32,20.19,8.35,41.36,0.0,100.73,5.78,10.73,0.54
Kafr El Sheikh,2025-05-14,23.71,12.57,18.14,26.28,13.7,31.31,17.61,9.12,55.11,0.0,101.25,4.57,7.66,1.94
Kafr El Sheikh,2025-05-15,23.69,10.15,16.92,27.1,16.7,32.83,16.13,7.83,50.17,0.0,101.49,3.21,5.73,1.04
Kafr El Sheikh,2025-05-16,27.51,9.11,18.31,29.89,22.53,39.56,17.03,7.28,39.26,0.0,101.25,4.81,7.73,0.48
Kafr El Sheikh,2025-05-17,29.42,9.09,19.26,31.3,19.37,40.47,21.1,7.58,34.81,0.0,101.19,5.72,9.73,2.67
Kafr El Sheikh,2025-05-18,25.42,14.76,20.09,27.65,14.74,34.17,19.43,10.52,57.98,0.0,101.7,5.26,8.35,1.82
Kafr El Sheikh,2025-05-19,23.27,11.02,17.15,25.73,14.63,31.53,16.9,8.3,53.27,0.0,101.74,4.97,7.0,2.55
Kafr El Sheikh,2025-05-20,22.75,9.59,16.17,25.02,15.83,31.22,15.39,7.56,50.48,0.0,101.52,4.94,7.51,2.39
