city,datetime,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Cairo,2025-02-01 00:00:00,2.0,363.83,0.04,37.36,32.19,32.42,8.93,16.38,10.01
Cairo,2025-02-01 01:00:00,2.0,360.49,0.03,35.64,27.89,23.37,9.63,17.5,8.11
Cairo,2025-02-01 02:00:00,2.0,353.81,0.02,31.87,27.18,18.6,10.05,18.05,5.38
Cairo,2025-02-01 03:00:00,2.0,343.8,0.03,29.13,25.75,15.74,10.25,18.47,4.18
Cairo,2025-02-01 04:00:00,2.0,347.14,0.06,29.47,22.53,15.02,10.89,19.41,3.99
Cairo,2025-02-01 05:00:00,2.0,363.83,0.18,32.9,16.99,15.74,12.38,21.4,3.86
Cairo,2025-02-01 06:00:00,2.0,400.54,1.1,41.13,8.23,18.36,14.71,24.48,4.02
Cairo,2025-02-01 07:00:00,2.0,507.35,14.19,50.72,0.56,29.09,19.99,30.93,4.94
Cairo,2025-02-01 08:00:00,3.0,674.25,48.73,54.15,2.79,40.53,27.77,40.19,5.95
Cairo,2025-02-01 09:00:00,3.0,827.79,78.68,58.95,5.23,50.54,34.76,48.42,7.92
Cairo,2025-02-01 10:00:00,3.0,881.2,84.94,60.32,9.66,60.08,38.2,52.78,12.67
Cairo,2025-02-01 11:00:00,3.0,741.0,58.11,55.52,18.24,60.08,33.19,47.1,15.83
Cairo,2025-02-01 12:00:00,2.0,317.1,7.26,23.65,65.09,50.54,7.71,13.39,5.57
Cairo,2025-02-01 13:00:00,2.0,277.04,3.38,17.99,76.53,45.78,5.05,9.36,4.5
Cairo,2025-02-01 14:00:00,2.0,270.37,2.21,17.48,80.82,42.92,4.77,8.87,4.88
Cairo,2025-02-01 15:00:00,2.0,273.7,2.54,17.31,83.68,43.87,5.01,9.02,5.83
Cairo,2025-02-01 16:00:00,2.0,283.72,2.32,21.25,80.82,48.16,5.48,9.52,7.47
Cairo,2025-02-01 17:00:00,2.0,300.41,1.47,27.42,72.24,49.59,5.8,9.8,9.25
Cairo,2025-02-01 18:00:00,2.0,320.43,0.08,32.56,61.51,48.16,5.86,9.94,11.02
Cairo,2025-02-01 19:00:00,2.0,327.11,0.0,32.56,56.51,43.87,5.79,10.3,12.79
Cairo,2025-02-01 20:00:00,2.0,323.77,0.0,30.5,53.64,40.05,5.58,10.81,13.05
Cairo,2025-02-01 21:00:00,2.0,310.42,0.0,25.36,55.79,35.76,5.58,12.24,10.89
Cairo,2025-02-01 22:00:00,2.0,300.41,0.0,22.96,57.94,37.19,6.43,16.14,9.75
Cairo,2025-02-01 23:00:00,2.0,287.06,0.0,21.42,57.94,36.24,7.37,20.68,8.87
Cairo,2025-02-02 00:00:00,2.0,277.04,0.0,19.88,58.65,29.33,7.66,23.54,8.04
Cairo,2025-02-02 01:00:00,2.0,273.7,0.0,17.31,60.08,22.17,7.99,26.68,6.02
Cairo,2025-02-02 02:00:00,2.0,267.03,0.0,13.71,64.37,17.64,8.72,31.02,3.61
Cairo,2025-02-02 03:00:00,2.0,263.69,0.0,12.0,67.23,15.97,9.44,34.52,2.41
Cairo,2025-02-02 04:00:00,2.0,263.69,0.0,10.71,70.1,15.02,10.15,38.02,1.84
Cairo,2025-02-02 05:00:00,2.0,263.69,0.0,10.11,73.67,14.07,10.92,42.22,1.46
Cairo,2025-02-02 06:00:00,2.0,270.37,0.0,11.14,75.82,14.31,12.03,46.83,1.39
Cairo,2025-02-02 07:00:00,3.0,300.41,0.0,19.54,69.38,20.74,14.41,52.84,1.9
Cairo,2025-02-02 08:00:00,3.0,350.48,0.84,33.59,57.94,29.56,17.39,58.64,2.66
Cairo,2025-02-02 09:00:00,3.0,370.5,5.03,34.96,60.8,34.33,19.31,62.53,3.45
Cairo,2025-02-02 10:00:00,3.0,353.81,7.15,29.13,70.81,37.19,20.09,63.55,4.12
Cairo,2025-02-02 11:00:00,3.0,330.45,6.54,23.65,82.97,39.58,20.91,63.61,4.24
