city,Date,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN
Matrouh,2025-06-06,28.16,6.41,17.29,30.84,18.6,37.13,18.53,6.04,30.6,0.0,102.04,4.2,6.88,2.24
Matrouh,2025-06-07,28.69,6.2,17.45,31.49,18.65,37.59,18.94,6.02,29.77,0.0,101.95,3.97,7.08,2.33
Matrouh,2025-06-08,29.13,8.43,18.78,31.67,18.15,37.68,19.53,6.85,31.59,0.0,101.85,4.52,7.06,2.71
Matrouh,2025-06-09,29.85,8.36,19.1,32.53,17.59,38.31,20.72,6.82,29.79,0.0,101.75,4.26,6.94,2.02
Matrouh,2025-06-10,29.9,7.4,18.65,33.16,17.93,38.42,20.49,6.44,28.51,0.0,101.65,3.41,6.93,2.29
Matrouh,2025-06-11,29.36,4.88,17.12,32.2,16.91,37.74,20.83,5.56,25.52,0.0,101.54,3.82,7.19,1.93
Matrouh,2025-06-12,29.65,9.08,19.36,33.41,18.85,38.65,19.8,7.63,37.0,0.0,101.69,2.92,6.56,0.89
Matrouh,2025-06-13,30.66,9.1,19.88,33.82,17.83,39.31,21.48,7.54,33.42,0.0,101.84,3.33,5.61,2.46
Matrouh,2025-06-14,30.78,9.18,19.98,33.92,17.27,39.16,21.89,7.32,30.96,0.0,101.82,3.83,7.66,2.04
Matrouh,2025-06-15,29.36,9.3,19.33,32.13,15.29,37.06,21.77,7.51,34.07,0.0,101.86,4.98,7.51,2.17
Matrouh,2025-06-16,27.76,8.63,18.19,30.28,16.52,35.92,19.4,7.11,36.07,0.0,101.81,5.41,8.85,2.58
Matrouh,2025-06-17,27.0,9.32,18.16,29.86,15.91,34.84,18.93,7.56,40.01,0.0,101.83,4.78,7.52,2.56
Matrouh,2025-06-18,27.9,11.39,19.65,31.37,17.1,35.96,18.86,8.48,42.41,0.0,101.89,3.77,7.16,2.55
Matrouh,2025-06-19,28.85,7.83,18.34,32.32,16.13,36.49,20.36,6.85,32.98,0.0,101.98,3.45,5.2,2.03
Matrouh,2025-06-20,29.66,5.8,17.73,32.1,17.91,38.18,20.27,5.83,26.98,0.0,101.9,4.05,5.38,2.31
Matrouh,2025-06-21,29.61,8.77,19.19,32.47,18.76,38.32,19.56,7.08,32.38,0.0,101.87,4.24,8.27,2.4
Matrouh,2025-06-22,31.21,9.3,20.25,34.2,17.02,39.38,22.36,7.24,28.6,0.0,101.79,3.21,6.49,1.9
Matrouh,2025-06-23,29.82,11.76,20.79,33.21,13.85,37.05,23.2,8.69,36.52,0.0,101.72,5.05,8.42,2.89
Matrouh,2025-06-24,28.47,10.54,19.51,31.65,16.88,36.51,19.63,7.96,37.81,0.0,101.74,4.44,6.99,2.94
Matrouh,2025-06-25,28.83,5.14,16.98,31.66,16.24,36.8,20.56,5.86,28.72,0.0,101.73,3.88,5.57,2.27
Matrouh,2025-06-26,29.18,6.19,17.69,32.1,18.31,37.7,19.39,6.05,28.88,0.0,101.57,3.68,6.59,2.03
Matrouh,2025-06-27,30.68,7.97,19.33,33.15,19.85,40.25,20.4,6.86,30.78,0.2,101.43,4.5,6.88,3.17
Matrouh,2025-06-28,31.55,8.19,19.87,34.23,20.58,41.43,20.85,6.86,28.82,0.0,101.18,4.35,7.01,2.75
Matrouh,2025-06-29,31.49,12.41,21.95,34.17,17.3,39.77,22.47,8.99,34.53,0.0,101.07,5.25,7.55,2.86
Matrouh,2025-06-30,30.66,14.36,22.51,34.12,14.14,37.71,23.57,10.32,41.7,0.0,101.24,4.22,8.16,2.52
Sohag,2025-06-01,28.6,5.74,17.17,31.0,15.64,36.28,20.64,5.78,24.85,0.0,98.94,4.29,6.65,2.76
Sohag,2025-06-02,28.87,7.07,17.97,31.17,14.98,36.26,21.28,6.35,26.5,0.0,99.08,5.85,9.03,3.05
Sohag,2025-06-03,27.28,5.38,16.33,29.5,14.53,34.57,20.04,5.78,27.88,0.0,98.93,7.02,8.84,5.26
Sohag,2025-06-04,29.06,1.86,15.46,31.45,19.4,38.96,19.56,4.51,20.9,0.0,98.69,5.55,7.43,4.08
Sohag,2025-06-05,30.28,1.48,15.88,33.74,20.78,40.34,19.56,4.38,19.12,0.0,98.62,3.66,6.43,0.32
Sohag,2025-06-06,31.08,2.09,16.59,33.31,18.81,40.28,21.47,4.53,17.84,0.0,98.61,5.15,6.64,3.31
Sohag,2025-06-07,31.67,1.63,16.65,34.08,19.45,41.29,21.84,4.36,16.62,0.0,98.55,4.64,7.36,2.88
Sohag,2025-06-08,31.54,4.06,17.8,33.64,17.99,40.23,22.24,5.18,19.07,0.0,98.47,5.46,7.66,2.85
Sohag,2025-06-09,30.64,3.9,17.27,32.86,16.22,38.78,22.56,5.16,20.28,0.0,98.49,5.9,7.73,4.39
Sohag,2025-06-10,31.77,6.65,19.21,34.05,18.35,40.6,22.25,6.21,22.32,0.0,98.36,5.04,7.3,3.61
Sohag,2025-06-11,32.14,3.66,17.9,34.39,17.59,40.78,23.19,5.11,18.42,0.0,98.29,4.77,7.1,3.29
Sohag,2025-06-12,32.46,-0.01,16.23,34.68,18.48,41.16,22.68,3.84,13.31,0.0,98.42,4.66,6.71,3.01
Sohag,2025-06-13,32.63,3.28,17.96,34.99,18.61,41.69,23.08,4.97,17.69,0.0,98.48,4.94,7.04,3.72
Sohag,2025-06-14,32.31,2.57,17.44,34.19,17.1,40.73,23.63,4.69,17.04,0.0,98.47,6.4,8.56,3.82
Sohag,2025-06-15,31.11,3.81,17.46,32.86,15.54,38.56,23.02,5.1,19.01,0.0,98.5,6.96,10.33,3.7
Sohag,2025-06-16,29.19,3.33,16.26,31.26,15.17,36.75,21.58,5.01,21.53,0.0,98.47,6.74,8.36,4.34
Sohag,2025-06-17,28.97,6.62,17.8,31.3,14.84,36.37,21.53,6.27,26.84,0.0,98.47,6.21,7.54,4.42
Sohag,2025-06-18,30.24,4.37,17.31,32.59,16.95,38.5,21.55,5.36,21.81,0.0,98.51,5.15,6.63,3.96
Sohag,2025-06-19,30.48,0.84,15.66,32.38,17.45,38.99,21.54,4.14,16.76,0.0,98.59,5.8,8.46,3.24
Sohag,2025-06-20,29.79,2.52,16.16,31.87,16.94,38.07,21.13,4.67,19.16,0.0,98.61,5.94,7.49,4.15
Sohag,2025-06-21,30.89,3.91,17.4,32.93,15.99,38.67,22.68,5.21,20.26,0.0,98.58,6.24,7.4,4.87
Sohag,2025-06-22,31.17,5.44,18.3,33.19,16.16,38.77,22.61,5.79,21.92,0.0,98.53,7.62,9.25,6.26
Sohag,2025-06-23,31.79,7.79,19.79,33.67,16.17,39.3,23.13,6.72,24.4,0.0,98.43,6.49,9.49,3.06
Sohag,2025-06-24,29.92,4.45,17.18,31.97,13.95,37.05,23.1,5.38,21.22,0.0,98.42,5.92,8.44,3.72
Sohag,2025-06-25,30.73,3.11,16.92,32.7,17.5,39.02,21.52,4.92,19.84,0.0,98.38,5.5,8.36,2.97
Sohag,2025-06-26,30.35,2.01,16.18,32.55,16.15,38.4,22.25,4.57,18.09,0.0,98.35,5.58,6.76,4.17
Sohag,2025-06-27,29.86,0.94,15.4,31.99,16.85,38.12,21.27,4.16,16.58,0.0,98.3,4.62,6.61,3.13
Sohag,2025-06-28,30.98,2.26,16.62,33.44,17.7,39.28,21.58,4.61,16.73,0.0,98.03,3.66,5.19,2.65
Sohag,2025-06-29,32.28,5.09,18.69,34.71,17.55,40.47,22.92,5.67,19.99,0.0,97.88,4.55,6.44,3.42
Sohag,2025-06-30,32.66,7.88,20.27,34.82,15.96,40.59,24.63,6.86,23.98,0.0,98.08,5.54,7.09,3.66
Red Sea,2025-06-01,30.38,2.33,16.35,34.17,16.54,38.24,21.7,4.75,18.16,0.0,95.17,3.45,4.4,1.72
Red Sea,2025-06-02,29.95,4.94,17.44,33.77,16.04,38.49,22.45,5.8,23.06,0.0,95.22,4.29,6.42,2.76
Red Sea,2025-06-03,27.83,4.54,16.19,31.14,14.2,35.71,21.51,5.68,24.77,0.0,95.03,5.94,9.59,3.19
Red Sea,2025-06-04,28.48,2.63,15.56,31.71,17.41,37.71,20.3,4.94,21.51,0.0,94.88,5.86,9.27,2.69
Red Sea,2025-06-05,30.49,1.24,15.87,34.26,19.08,39.93,20.85,4.44,17.13,0.0,94.88,3.63,7.41,2.07
Red Sea,2025-06-06,33.2,-1.41,15.9,36.45,19.25,42.55,23.3,3.59,12.17,0.0,94.87,2.97,4.42,1.05
Red Sea,2025-06-07,33.3,-0.19,16.55,36.78,18.97,42.67,23.7,3.98,12.86,0.0,94.81,3.34,7.28,1.95
Red Sea,2025-06-08,33.79,-0.57,16.61,36.6,19.17,43.57,24.4,3.82,12.23,0.0,94.72,4.36,7.25,2.79
Red Sea,2025-06-09,32.88,-0.17,16.35,36.01,17.58,41.85,24.27,3.96,12.72,0.0,94.7,4.71,7.72,2.63
Red Sea,2025-06-10,32.69,-0.52,16.09,36.44,18.2,41.31,23.11,3.88,12.9,0.0,94.64,2.76,4.51,0.94
Red Sea,2025-06-11,32.53,4.0,18.27,37.02,17.06,41.43,24.37,5.42,18.23,0.0,94.58,2.65,4.87,0.94
Red Sea,2025-06-12,33.77,1.42,17.6,37.87,17.56,42.68,25.12,4.48,14.63,0.0,94.69,2.21,3.7,1.15
Red Sea,2025-06-13,33.57,-1.11,16.23,37.01,17.86,42.45,24.59,3.7,12.0,0.0,94.73,3.6,6.86,2.3
Red Sea,2025-06-14,33.9,-0.86,16.52,37.56,18.69,43.45,24.76,3.78,12.25,0.0,94.7,3.99,6.11,2.36
Red Sea,2025-06-15,33.09,-1.67,15.71,36.33,18.41,42.7,24.29,3.56,11.72,0.0,94.66,5.15,6.59,3.61
Red Sea,2025-06-16,31.02,-0.79,15.12,34.07,16.07,39.3,23.23,3.87,14.16,0.0,94.65,6.45,8.24,4.56
Red Sea,2025-06-17,30.49,-0.95,14.77,34.05,16.61,38.76,22.15,3.74,13.95,0.0,94.66,5.08,6.18,3.35
Red Sea,2025-06-18,31.11,0.54,15.83,35.18,18.08,39.81,21.73,4.19,15.63,0.0,94.73,3.67,5.38,2.32
Red Sea,2025-06-19,31.69,-2.23,14.73,35.21,18.15,40.79,22.64,3.41,12.09,0.0,94.81,4.52,6.08,3.13
Red Sea,2025-06-20,30.98,-3.3,13.84,34.4,17.51,39.61,22.1,3.14,11.74,0.0,94.83,5.34,6.69,3.62
Red Sea,2025-06-21,31.57,-1.23,15.17,35.04,17.7,40.18,22.48,3.67,13.22,0.0,94.79,4.0,6.28,1.99
Red Sea,2025-06-22,31.12,0.1,15.61,34.13,16.19,39.55,23.36,4.09,14.51,0.0,94.72,4.83,8.89,2.54
Red Sea,2025-06-23,31.25,2.79,17.02,34.76,16.2,39.66,23.46,5.14,19.88,0.0,94.66,4.83,7.56,2.43
Red Sea,2025-06-24,31.39,1.93,16.66,34.37,14.75,38.77,24.02,4.64,16.57,0.0,94.67,5.91,7.83,3.26
Red Sea,2025-06-25,31.36,0.49,15.92,35.25,16.69,39.16,22.47,4.18,14.75,0.0,94.64,3.45,5.72,1.33
Red Sea,2025-06-26,31.75,-0.38,15.68,36.0,17.02,39.77,22.75,3.97,13.35,0.0,94.55,2.8,6.09,0.91
Red Sea,2025-06-27,31.37,-2.48,14.44,34.99,15.82,39.24,23.42,3.32,11.54,0.0,94.56,5.07,6.32,3.51
Red Sea,2025-06-28,30.76,-1.0,14.88,33.88,14.78,37.75,22.97,3.73,13.51,0.0,94.42,5.03,7.25,3.05
Red Sea,2025-06-29,31.79,2.83,17.31,35.7,15.38,38.91,23.53,4.97,16.78,0.0,94.25,3.46,4.84,0.35
Red Sea,2025-06-30,32.93,4.6,18.76,36.67,15.15,40.0,24.85,5.65,17.46,0.0,94.36,3.21,4.84,0.67
Gharbia,2025-06-01,25.01,13.25,19.13,28.02,14.05,33.22,19.17,9.42,51.73,0.0,101.43,3.65,7.74,1.6
Gharbia,2025-06-02,24.27,13.56,18.92,27.17,14.5,32.28,17.78,9.63,56.35,0.0,101.75,4.24,7.6,1.97
Gharbia,2025-06-03,25.28,12.62,18.95,27.94,15.95,33.8,17.85,9.16,52.13,0.0,101.56,4.23,6.79,2.26
Gharbia,2025-06-04,26.97,12.81,19.89,29.33,18.16,36.3,18.14,9.55,51.97,0.0,101.39,4.27,7.07,2.29
Gharbia,2025-06-05,27.35,11.84,19.59,29.75,19.39,37.59,18.2,9.08,49.42,0.0,101.31,4.21,6.84,2.44
Gharbia,2025-06-06,28.04,11.5,19.77,30.78,20.63,39.09,18.46,8.95,47.57,0.0,101.23,3.92,7.21,2.33
Gharbia,2025-06-07,27.6,13.27,20.44,30.22,19.07,37.77,18.7,9.74,50.45,0.0,101.15,4.22,7.66,2.18
Gharbia,2025-06-08,27.64,14.43,21.03,30.22,18.95,37.74,18.79,10.62,54.92,0.0,100.99,4.55,7.6,2.31
Gharbia,2025-06-09,28.44,14.57,21.51,31.33,19.47,38.74,19.27,10.6,52.54,0.0,100.91,4.0,6.46,2.34
Gharbia,2025-06-10,28.68,13.96,21.32,31.26,19.83,39.52,19.69,10.42,51.83,0.0,100.84,4.56,8.48,2.07
Gharbia,2025-06-11,28.73,13.81,21.27,31.32,19.28,38.9,19.62,10.34,51.39,0.0,100.75,4.43,7.2,2.4
Gharbia,2025-06-12,28.71,16.57,22.64,31.72,18.3,38.96,20.66,12.1,57.55,0.0,100.89,4.04,7.39,2.13
Gharbia,2025-06-13,29.12,14.43,21.78,31.72,19.18,39.52,20.34,10.87,53.17,0.0,101.07,4.63,7.97,2.2
Gharbia,2025-06-14,27.85,14.26,21.06,30.14,16.86,36.82,19.96,10.48,52.77,0.0,101.04,5.4,8.7,2.57
Gharbia,2025-06-15,26.94,14.18,20.56,29.26,16.27,35.57,19.3,10.27,52.98,0.0,100.96,5.57,8.36,2.59
Gharbia,2025-06-16,26.58,15.0,20.79,29.15,16.64,35.48,18.84,10.73,55.33,0.0,100.86,5.3,7.7,2.85
Gharbia,2025-06-17,28.02,15.62,21.82,31.01,16.11,36.96,20.85,11.33,54.8,0.0,100.92,4.11,6.91,2.29
Gharbia,2025-06-18,28.57,13.9,21.24,31.17,17.23,37.36,20.13,10.37,50.74,0.0,101.09,4.21,6.25,2.38
