city,Date,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN
Sharkia,2025-06-01,26.09,12.35,19.22,29.61,15.32,34.18,18.86,8.96,47.12,0.0,100.87,3.52,8.91,0.88
Sharkia,2025-06-02,25.31,12.09,18.69,28.31,15.48,33.62,18.14,8.78,48.23,0.0,101.18,4.05,8.24,1.56
Sharkia,2025-06-03,25.28,11.31,18.3,27.97,17.02,34.23,17.21,8.43,47.95,0.0,101.01,3.88,7.2,1.86
Sharkia,2025-06-04,26.45,10.95,18.7,28.58,18.27,35.86,17.59,8.37,46.09,0.0,100.84,4.13,7.6,1.53
Sharkia,2025-06-05,26.74,11.14,18.94,28.9,19.17,36.52,17.35,8.61,47.49,0.0,100.76,4.24,6.77,2.3
Sharkia,2025-06-06,28.05,10.49,19.27,30.38,20.72,38.41,17.69,8.32,44.18,0.0,100.67,3.89,6.55,2.23
Sharkia,2025-06-07,28.17,10.61,19.39,30.71,19.96,38.87,18.91,8.1,40.32,0.0,100.6,3.59,7.65,1.13
Sharkia,2025-06-08,28.45,12.26,20.36,31.03,20.89,39.2,18.31,9.14,45.86,0.0,100.44,3.68,7.65,1.77
Sharkia,2025-06-09,28.98,13.0,20.99,31.9,20.22,39.22,19.0,9.63,46.71,0.0,100.37,3.31,6.4,1.88
Sharkia,2025-06-10,29.51,11.35,20.43,32.05,20.88,40.54,19.66,8.65,40.3,0.0,100.29,3.78,8.94,1.47
Sharkia,2025-06-11,29.61,11.36,20.48,32.42,21.01,40.11,19.1,8.83,42.65,0.0,100.21,3.44,7.13,1.69
Sharkia,2025-06-12,30.16,12.69,21.43,33.32,19.37,40.3,20.93,9.42,41.45,0.0,100.34,3.16,7.71,1.42
Sharkia,2025-06-13,29.71,12.6,21.16,32.44,20.11,40.31,20.2,9.58,45.19,0.0,100.52,3.78,8.16,1.46
Sharkia,2025-06-14,28.88,12.11,20.49,31.24,20.33,40.07,19.74,9.3,46.15,0.0,100.49,4.71,8.85,2.15
Sharkia,2025-06-15,27.75,12.17,19.96,30.12,19.1,37.94,18.84,9.15,46.76,0.0,100.42,4.6,8.04,1.86
Sharkia,2025-06-16,27.53,13.11,20.32,30.23,19.7,37.87,18.17,9.58,48.91,0.0,100.31,4.58,7.75,2.82
Sharkia,2025-06-17,28.03,13.41,20.72,31.11,16.21,37.01,20.8,9.97,48.83,0.0,100.38,3.78,7.39,2.15
Sharkia,2025-06-18,28.25,12.47,20.36,30.6,17.22,36.95,19.73,9.54,47.35,0.0,100.54,4.24,6.67,2.08
Sharkia,2025-06-19,28.28,10.6,19.44,30.98,19.31,37.68,18.37,8.38,43.24,0.0,100.59,3.66,6.57,2.05
Sharkia,2025-06-20,29.09,11.45,20.27,32.08,20.77,39.24,18.47,8.84,43.95,0.0,100.5,3.37,7.58,2.03
Sharkia,2025-06-21,29.66,12.17,20.92,32.27,19.69,39.68,19.99,9.29,44.0,0.0,100.48,4.09,8.39,2.14
Sharkia,2025-06-22,28.61,13.91,21.26,30.87,18.41,38.58,20.17,10.05,46.57,0.0,100.45,5.39,9.95,2.11
Sharkia,2025-06-23,28.3,12.02,20.16,30.79,17.84,37.64,19.8,8.95,43.01,0.0,100.34,4.19,7.37,1.92
Sharkia,2025-06-24,28.51,13.55,21.03,31.34,18.16,37.94,19.78,9.88,46.55,0.0,100.32,3.63,7.42,1.65
Sharkia,2025-06-25,29.6,11.6,20.6,32.41,19.52,39.13,19.61,8.84,41.53,0.05,100.32,3.58,6.45,2.28
Sharkia,2025-06-26,29.12,9.31,19.22,32.45,19.16,38.44,19.28,7.87,38.86,0.78,100.19,2.36,4.86,1.28
Sharkia,2025-06-27,30.31,9.42,19.86,33.17,18.93,40.03,21.1,7.93,36.75,0.47,100.03,2.37,5.37,0.74
Sharkia,2025-06-28,30.77,10.52,20.65,33.85,20.65,41.15,20.5,8.55,39.31,1.71,99.78,2.23,5.87,0.79
Sharkia,2025-06-29,31.12,13.97,22.54,33.62,20.24,41.47,21.23,10.46,45.03,1.12,99.65,4.14,8.14,2.17
Sharkia,2025-06-30,31.1,14.4,22.75,33.52,18.79,40.59,21.8,10.73,45.09,0.0,99.89,3.96,5.78,2.47
South Sinai,2025-06-01,22.69,4.28,13.49,24.95,12.05,28.74,16.69,5.79,32.09,0.0,90.44,3.76,7.08,0.29
South Sinai,2025-06-02,21.0,7.64,14.32,24.73,15.39,28.91,13.52,7.35,48.19,0.0,90.61,4.94,6.93,2.95
South Sinai,2025-06-03,19.15,6.79,12.97,22.38,15.22,27.64,12.42,6.98,51.97,0.0,90.44,7.05,8.34,5.97
South Sinai,2025-06-04,20.3,4.89,12.59,22.98,17.15,28.9,11.75,6.06,42.41,0.0,90.34,7.76,9.53,6.24
South Sinai,2025-06-05,23.8,1.29,12.55,27.09,21.66,34.9,13.24,4.93,31.46,0.0,90.29,4.95,8.49,1.07
South Sinai,2025-06-06,27.26,1.85,14.55,30.33,19.38,37.28,17.9,4.95,23.88,0.0,90.26,3.91,5.43,1.46
South Sinai,2025-06-07,26.33,0.31,13.32,29.53,20.46,37.16,16.7,4.41,22.65,0.0,90.21,4.35,5.77,0.76
South Sinai,2025-06-08,25.91,0.35,13.13,28.87,19.26,35.73,16.47,4.56,24.14,0.0,90.09,4.41,5.97,2.32
South Sinai,2025-06-09,25.32,1.82,13.57,28.59,18.84,34.63,15.79,5.08,27.66,0.0,90.06,4.04,6.06,2.54
South Sinai,2025-06-10,25.83,2.35,14.09,29.12,18.16,34.82,16.66,5.17,26.38,0.0,90.01,4.09,5.25,3.0
South Sinai,2025-06-11,25.94,2.15,14.05,29.43,17.92,34.86,16.94,4.98,24.3,0.0,89.95,4.09,5.04,3.17
South Sinai,2025-06-12,26.77,-0.03,13.37,29.96,18.44,36.13,17.69,4.25,19.91,0.0,90.09,3.53,5.94,0.88
South Sinai,2025-06-13,27.48,2.35,14.92,31.1,20.89,38.37,17.48,5.24,25.74,0.0,90.15,4.23,7.66,0.78
South Sinai,2025-06-14,27.56,2.19,14.87,31.22,20.08,38.27,18.19,5.06,23.73,0.0,90.1,5.17,7.45,2.62
South Sinai,2025-06-15,24.74,3.53,14.13,28.05,17.57,33.89,16.32,5.76,31.92,0.0,90.06,5.25,7.38,3.8
South Sinai,2025-06-16,24.04,1.16,12.6,27.62,20.85,34.53,13.68,5.1,32.1,0.0,89.94,4.27,5.96,2.78
South Sinai,2025-06-17,23.84,4.86,14.35,27.6,18.95,33.63,14.68,6.41,38.63,0.0,89.98,4.57,6.63,1.58
South Sinai,2025-06-18,24.63,6.41,15.52,28.56,20.19,35.03,14.84,7.03,41.0,0.0,90.07,4.8,7.36,0.31
South Sinai,2025-06-19,25.09,4.64,14.86,28.79,20.09,35.7,15.61,6.01,32.54,0.0,90.16,5.21,7.42,0.34
South Sinai,2025-06-20,25.22,1.25,13.23,29.23,19.32,35.07,15.75,4.7,24.72,0.0,90.15,4.95,6.85,1.44
South Sinai,2025-06-21,24.82,2.68,13.75,28.52,17.62,33.85,16.23,5.22,27.66,0.0,90.17,5.28,6.39,3.17
South Sinai,2025-06-22,24.2,5.29,14.75,27.75,17.94,33.46,15.52,6.56,37.91,0.0,90.11,5.9,8.16,4.19
South Sinai,2025-06-23,23.9,6.57,15.24,27.47,17.18,32.52,15.34,6.98,39.57,0.0,90.01,4.92,6.57,3.31
South Sinai,2025-06-24,24.66,5.81,15.23,28.61,18.9,34.02,15.12,6.71,37.88,0.0,89.94,3.83,6.04,1.65
South Sinai,2025-06-25,25.08,5.34,15.21,28.98,18.09,34.21,16.12,6.29,32.8,0.0,90.0,5.11,6.64,2.95
South Sinai,2025-06-26,25.54,3.72,14.63,29.23,19.43,35.75,16.32,5.6,28.38,0.0,89.91,4.4,6.46,0.35
South Sinai,2025-06-27,27.1,2.42,14.76,30.41,17.63,35.77,18.14,5.08,22.91,0.0,89.82,3.32,5.06,0.4
South Sinai,2025-06-28,27.64,2.11,14.88,31.08,17.34,36.5,19.16,4.96,20.95,0.0,89.64,3.26,6.0,0.95
South Sinai,2025-06-29,27.56,1.79,14.68,31.04,16.09,35.46,19.37,4.87,20.93,0.0,89.55,3.3,6.6,1.61
South Sinai,2025-06-30,27.46,5.16,16.31,30.96,15.21,34.75,19.54,6.17,25.73,0.0,89.76,3.62,6.05,2.04
Kafr El Sheikh,2025-06-01,25.01,13.25,19.13,28.02,14.05,33.22,19.17,9.42,51.73,0.0,101.43,3.65,7.74,1.6
Kafr El Sheikh,2025-06-02,24.27,13.56,18.92,27.17,14.5,32.28,17.78,9.63,56.35,0.0,101.75,4.24,7.6,1.97
Kafr El Sheikh,2025-06-03,25.28,12.62,18.95,27.94,15.95,33.8,17.85,9.16,52.13,0.0,101.56,4.23,6.79,2.26
Kafr El Sheikh,2025-06-04,26.97,12.81,19.89,29.33,18.16,36.3,18.14,9.55,51.97,0.0,101.39,4.27,7.07,2.29
Kafr El Sheikh,2025-06-05,27.35,11.84,19.59,29.75,19.39,37.59,18.2,9.08,49.42,0.0,101.31,4.21,6.84,2.44
Kafr El Sheikh,2025-06-06,28.04,11.5,19.77,30.78,20.63,39.09,18.46,8.95,47.57,0.0,101.23,3.92,7.21,2.33
Kafr El Sheikh,2025-06-07,27.6,13.27,20.44,30.22,19.07,37.77,18.7,9.74,50.45,0.0,101.15,4.22,7.66,2.18
Kafr El Sheikh,2025-06-08,27.64,14.43,21.03,30.22,18.95,37.74,18.79,10.62,54.92,0.0,100.99,4.55,7.6,2.31
Kafr El Sheikh,2025-06-09,28.44,14.57,21.51,31.33,19.47,38.74,19.27,10.6,52.54,0.0,100.91,4.0,6.46,2.34
Kafr El Sheikh,2025-06-10,28.68,13.96,21.32,31.26,19.83,39.52,19.69,10.42,51.83,0.0,100.84,4.56,8.48,2.07
Kafr El Sheikh,2025-06-11,28.73,13.81,21.27,31.32,19.28,38.9,19.62,10.34,51.39,0.0,100.75,4.43,7.2,2.4
Kafr El Sheikh,2025-06-12,28.71,16.57,22.64,31.72,18.3,38.96,20.66,12.1,57.55,0.0,100.89,4.04,7.39,2.13
Kafr El Sheikh,2025-06-13,29.12,14.43,21.78,31.72,19.18,39.52,20.34,10.87,53.17,0.0,101.07,4.63,7.97,2.2
Kafr El Sheikh,2025-06-14,27.85,14.26,21.06,30.14,16.86,36.82,19.96,10.48,52.77,0.0,101.04,5.4,8.7,2.57
Kafr El Sheikh,2025-06-15,26.94,14.18,20.56,29.26,16.27,35.57,19.3,10.27,52.98,0.0,100.96,5.57,8.36,2.59
Kafr El Sheikh,2025-06-16,26.58,15.0,20.79,29.15,16.64,35.48,18.84,10.73,55.33,0.0,100.86,5.3,7.7,2.85
Kafr El Sheikh,2025-06-17,28.02,15.62,21.82,31.01,16.11,36.96,20.85,11.33,54.8,0.0,100.92,4.11,6.91,2.29
Kafr El Sheikh,2025-06-18,28.57,13.9,21.24,31.17,17.23,37.36,20.13,10.37,50.74,0.0,101.09,4.21,6.25,2.38
Kafr El Sheikh,2025-06-19,28.34,12.54,20.44,31.25,18.84,37.99,19.15,9.54,48.81,0.0,101.13,3.92,6.85,2.44
Kafr El Sheikh,2025-06-20,28.77,14.47,21.62,31.42,19.57,38.76,19.19,10.73,52.88,0.0,101.04,4.42,7.66,2.42
Kafr El Sheikh,2025-06-21,29.07,14.22,21.65,31.53,18.14,38.65,20.51,10.5,50.04,0.0,101.02,4.89,8.12,2.77
Kafr El Sheikh,2025-06-22,28.1,15.9,22.0,30.29,15.78,36.7,20.92,11.44,54.34,0.0,100.98,6.09,10.16,2.67
Kafr El Sheikh,2025-06-23,27.18,14.32,20.75,29.67,14.61,34.91,20.3,10.32,51.08,0.0,100.9,4.79,7.28,2.14
Kafr El Sheikh,2025-06-24,28.47,15.54,22.01,31.22,17.77,37.99,20.22,11.26,53.85,0.0,100.86,4.08,7.35,2.01
Kafr El Sheikh,2025-06-25,28.86,12.87,20.86,31.45,17.04,37.99,20.95,9.57,45.56,0.01,100.89,4.46,6.98,2.55
Kafr El Sheikh,2025-06-26,28.98,12.01,20.49,32.11,19.15,38.79,19.64,9.26,45.8,0.29,100.71,3.18,6.05,1.93
Kafr El Sheikh,2025-06-27,29.56,13.35,21.45,32.39,20.71,40.43,19.72,10.17,49.24,1.72,100.55,3.16,6.21,1.79
Kafr El Sheikh,2025-06-28,30.14,14.99,22.57,32.9,20.73,41.41,20.68,11.45,53.26,2.22,100.3,3.41,7.27,1.36
Kafr El Sheikh,2025-06-29,29.85,16.81,23.33,32.17,19.02,40.33,21.31,12.36,55.21,1.1,100.18,4.86,8.3,2.39
Kafr El Sheikh,2025-06-30,30.86,16.01,23.44,33.35,18.25,40.19,21.94,11.71,49.14,0.0,100.39,4.0,5.67,1.74
Matrouh,2025-06-01,25.59,11.36,18.48,29.13,12.14,31.51,19.37,8.32,44.5,0.0,102.19,4.32,7.06,3.13
Matrouh,2025-06-02,25.71,9.66,17.69,28.93,13.94,32.73,18.79,7.56,41.66,0.0,102.55,4.61,7.56,2.61
Matrouh,2025-06-03,25.8,8.0,16.9,28.35,16.31,33.6,17.29,6.59,36.0,0.01,102.41,4.77,7.24,2.23
Matrouh,2025-06-04,26.38,9.02,17.7,28.93,18.02,34.97,16.95,7.18,39.78,0.02,102.23,5.03,7.16,3.25
Matrouh,2025-06-05,27.7,8.99,18.34,30.77,17.62,36.33,18.71,7.33,38.24,0.0,102.1,3.85,4.96,2.41
