city,datetime,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Cairo,2025-01-01 00:00:00,2.0,433.92,0.94,50.72,11.8,23.13,12.55,22.7,4.69
Cairo,2025-01-01 01:00:00,2.0,423.91,0.83,47.3,10.64,17.88,12.66,24.02,2.79
Cairo,2025-01-01 02:00:00,2.0,413.89,0.46,42.16,12.87,16.45,13.54,26.57,1.92
Cairo,2025-01-01 03:00:00,2.0,397.21,0.28,36.67,15.74,16.21,14.91,30.34,1.63
Cairo,2025-01-01 04:00:00,2.0,387.19,0.27,33.93,15.74,16.93,17.63,35.64,1.55
Cairo,2025-01-01 05:00:00,2.0,400.54,0.67,37.01,11.18,18.36,21.46,41.47,1.52
Cairo,2025-01-01 06:00:00,3.0,453.95,4.08,43.87,3.17,22.41,26.17,47.39,1.73
Cairo,2025-01-01 07:00:00,3.0,600.81,28.39,49.35,0.05,37.67,35.45,58.7,2.56
Cairo,2025-01-01 08:00:00,3.0,774.38,65.27,52.78,0.99,48.16,43.9,69.08,3.17
Cairo,2025-01-01 09:00:00,4.0,894.55,92.98,52.78,4.87,57.7,50.18,75.19,4.37
Cairo,2025-01-01 10:00:00,4.0,1041.41,114.44,54.84,8.05,75.34,60.49,84.25,7.79
Cairo,2025-01-01 11:00:00,4.0,1014.71,100.14,58.95,13.05,86.78,65.24,86.04,10.51
Cairo,2025-01-01 12:00:00,2.0,417.23,15.42,32.22,50.78,78.2,16.88,23.31,4.37
Cairo,2025-01-01 13:00:00,2.0,337.12,7.1,22.62,65.09,62.94,8.66,12.89,3.26
Cairo,2025-01-01 14:00:00,2.0,320.43,4.64,20.22,70.81,53.88,7.45,11.3,2.88
Cairo,2025-01-01 15:00:00,2.0,320.43,3.58,22.28,70.81,53.41,7.34,11.24,3.1
Cairo,2025-01-01 16:00:00,2.0,347.14,3.02,30.85,60.8,58.65,8.1,12.48,3.99
Cairo,2025-01-01 17:00:00,2.0,383.85,1.01,43.53,44.7,60.08,8.75,13.55,4.75
Cairo,2025-01-01 18:00:00,2.0,403.88,0.03,47.98,36.12,55.79,9.13,14.22,5.19
Cairo,2025-01-01 19:00:00,2.0,390.53,0.01,41.47,41.13,52.93,9.0,14.46,5.26
Cairo,2025-01-01 20:00:00,2.0,370.5,0.0,34.27,47.21,51.98,8.59,14.76,5.07
Cairo,2025-01-01 21:00:00,2.0,367.16,0.0,30.5,50.07,47.68,8.7,16.84,5.0
Cairo,2025-01-01 22:00:00,2.0,387.19,0.01,33.59,44.35,45.3,10.28,22.72,5.76
Cairo,2025-01-01 23:00:00,2.0,390.53,0.01,35.99,40.77,41.01,11.51,28.24,5.64
Cairo,2025-01-02 00:00:00,2.0,373.84,0.01,33.59,43.63,31.47,11.62,31.04,4.37
Cairo,2025-01-02 01:00:00,2.0,353.81,0.0,28.1,49.35,23.84,11.56,33.43,3.23
Cairo,2025-01-02 02:00:00,2.0,333.79,0.0,21.93,55.79,19.55,11.53,36.2,2.34
Cairo,2025-01-02 03:00:00,2.0,327.11,0.0,18.68,57.94,17.64,11.85,39.08,1.9
Cairo,2025-01-02 04:00:00,2.0,323.77,0.0,16.79,58.65,16.45,12.23,42.04,1.66
Cairo,2025-01-02 05:00:00,2.0,323.77,0.0,16.11,59.37,15.74,12.73,45.07,1.44
Cairo,2025-01-02 06:00:00,2.0,330.45,0.0,17.48,58.65,16.69,13.78,49.37,1.39
Cairo,2025-01-02 07:00:00,3.0,383.85,0.02,31.19,45.78,25.27,16.99,55.44,1.95
Cairo,2025-01-02 08:00:00,3.0,467.3,2.91,50.72,28.25,35.76,21.35,60.96,2.53
Cairo,2025-01-02 09:00:00,3.0,473.98,10.84,43.87,36.12,40.53,22.38,60.99,2.69
Cairo,2025-01-02 10:00:00,3.0,440.6,12.07,34.27,48.64,42.92,21.4,57.91,2.94
Cairo,2025-01-02 11:00:00,3.0,390.53,9.72,26.73,60.08,46.73,19.72,54.51,2.69
Cairo,2025-01-02 12:00:00,2.0,317.1,5.14,17.14,77.96,46.25,13.7,35.91,1.31
Cairo,2025-01-02 13:00:00,2.0,300.41,3.69,14.39,88.69,41.01,12.06,28.34,1.03
Cairo,2025-01-02 14:00:00,2.0,297.07,3.13,14.39,94.41,39.1,12.73,28.67,0.99
Cairo,2025-01-02 15:00:00,2.0,307.08,2.93,17.82,95.84,42.92,14.3,31.01,1.25
Cairo,2025-01-02 16:00:00,2.0,327.11,2.35,25.02,90.84,48.16,16.48,35.04,1.76
Cairo,2025-01-02 17:00:00,2.0,357.15,0.65,34.96,80.82,50.07,18.32,38.69,2.12
Cairo,2025-01-02 18:00:00,2.0,377.18,0.0,39.76,75.1,48.64,19.36,41.3,2.41
Cairo,2025-01-02 19:00:00,2.0,380.52,0.0,39.76,74.39,51.5,20.54,45.59,2.79
Cairo,2025-01-02 20:00:00,2.0,373.84,0.0,36.33,76.53,55.31,21.09,48.46,3.04
Cairo,2025-01-02 21:00:00,2.0,360.49,0.0,31.53,77.25,51.98,21.28,49.43,2.91
Cairo,2025-01-02 22:00:00,3.0,357.15,0.0,28.79,74.39,47.21,22.3,51.18,2.72
Cairo,2025-01-02 23:00:00,3.0,353.81,0.0,27.08,72.24,40.05,23.35,53.29,2.34
Cairo,2025-01-03 00:00:00,3.0,333.79,0.0,23.31,72.96,30.52,23.4,54.55,1.76
Cairo,2025-01-03 01:00:00,3.0,317.1,0.0,17.99,76.53,23.37,22.4,54.85,1.47
Cairo,2025-01-03 02:00:00,3.0,303.75,0.0,13.54,80.11,19.55,21.57,54.79,1.28
Cairo,2025-01-03 03:00:00,3.0,300.41,0.0,11.65,80.82,18.36,21.44,55.14,1.27
Cairo,2025-01-03 04:00:00,3.0,303.75,0.0,11.48,80.11,18.12,21.97,55.81,1.42
Cairo,2025-01-03 05:00:00,3.0,310.42,0.0,12.34,77.96,18.36,23.2,57.64,1.47
Cairo,2025-01-03 06:00:00,3.0,323.77,0.0,15.42,73.67,20.5,24.68,60.25,1.58
