YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,City
2025,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,2,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,2,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,2,1,6,7.85,7.9,12.79,11.2,2.93,2.95,0.38,0.0,0.0,Aswan
2025,2,1,7,157.95,162.15,430.44,70.12,65.17,66.62,6.86,0.03,0.15,Aswan
2025,2,1,8,387.92,394.12,679.97,115.0,166.16,168.65,18.95,0.22,1.1,Aswan
2025,2,1,9,591.8,597.33,832.27,125.16,255.88,258.17,31.55,0.57,2.83,Aswan
2025,2,1,10,741.92,745.92,909.04,118.16,321.5,323.2,41.24,0.94,4.62,Aswan
2025,2,1,11,817.78,820.03,911.97,140.79,353.48,354.43,45.8,1.14,5.7,Aswan
2025,2,1,12,824.97,825.25,918.86,135.12,356.37,356.5,46.21,1.16,5.78,Aswan
2025,2,1,13,736.1,753.03,801.29,192.45,318.3,325.32,40.6,0.94,4.68,Aswan
2025,2,1,14,547.42,610.97,604.03,210.56,237.67,263.32,29.55,0.56,2.8,Aswan
2025,2,1,15,373.0,413.17,534.19,152.58,160.57,176.32,18.76,0.24,1.17,Aswan
2025,2,1,16,170.77,184.35,405.41,81.64,71.12,76.08,7.67,0.04,0.2,Aswan
2025,2,1,17,13.4,13.82,26.22,14.2,5.15,5.3,0.64,0.0,0.0,Aswan
2025,2,1,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,2,1,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,2,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,2,1,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,2,1,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,2,1,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,2,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,2,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
