city,Date,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN
Sharkia,2025-02-01,13.94,8.9,11.42,14.07,12.86,21.45,8.59,7.02,75.21,0.0,101.77,2.96,4.15,1.83
Sharkia,2025-02-02,13.92,7.65,10.78,14.0,13.73,22.02,8.29,6.57,69.76,0.0,101.6,3.38,4.99,2.6
Sharkia,2025-02-03,15.4,7.3,11.35,15.9,15.13,23.7,8.57,6.42,64.92,0.0,101.21,2.49,3.61,1.84
Sharkia,2025-02-04,14.72,9.23,11.97,15.11,13.79,22.94,9.15,7.28,72.79,0.0,101.06,2.31,3.3,1.35
Sharkia,2025-02-05,14.95,7.53,11.24,15.41,12.29,21.55,9.26,6.48,65.32,0.16,100.96,5.78,9.13,1.75
Sharkia,2025-02-06,13.74,1.37,7.56,14.29,8.59,18.72,10.13,4.18,44.66,0.02,101.12,6.57,9.25,2.93
Sharkia,2025-02-07,13.22,3.55,8.38,14.01,11.31,19.18,7.87,4.85,54.33,0.19,101.49,3.5,4.71,2.34
Sharkia,2025-02-08,12.1,2.25,7.18,12.74,12.09,19.13,7.04,4.44,54.88,0.04,101.57,2.91,4.28,1.92
Sharkia,2025-02-09,11.85,4.08,7.96,11.46,9.81,17.4,7.59,5.05,60.75,0.31,101.39,3.05,5.32,1.15
Sharkia,2025-02-10,12.51,5.04,8.78,13.04,12.43,19.22,6.79,5.4,64.68,0.06,101.27,3.35,4.75,2.4
Sharkia,2025-02-11,13.07,3.84,8.45,13.76,12.6,20.31,7.71,4.97,57.99,0.0,101.41,3.78,5.43,2.78
Sharkia,2025-02-12,12.25,3.43,7.84,12.82,12.46,19.72,7.26,4.82,59.63,0.01,101.66,4.23,6.39,2.79
Sharkia,2025-02-13,11.84,2.44,7.14,12.36,13.06,19.76,6.7,4.49,57.31,0.0,101.81,3.85,6.27,2.12
Sharkia,2025-02-14,12.33,3.79,8.06,12.4,13.42,20.55,7.13,4.96,61.28,0.0,101.54,3.22,5.79,1.11
Sharkia,2025-02-15,12.9,4.39,8.64,13.5,17.41,22.84,5.43,5.31,64.07,0.01,100.87,3.01,4.83,1.58
Sharkia,2025-02-16,14.36,5.99,10.17,14.92,15.6,23.08,7.48,5.84,64.0,0.0,100.93,2.73,3.19,1.6
Sharkia,2025-02-17,15.23,2.3,8.76,15.02,16.24,24.02,7.78,4.6,49.99,0.0,101.11,2.98,4.93,2.2
Sharkia,2025-02-18,15.67,-0.6,7.53,16.01,16.81,24.8,7.99,3.82,38.55,0.0,101.19,3.51,4.55,2.72
Sharkia,2025-02-19,15.52,8.19,11.85,15.94,12.51,22.81,10.3,6.81,67.1,0.0,101.1,2.82,5.81,0.19
Sharkia,2025-02-20,12.86,7.76,10.31,13.18,10.53,18.99,8.46,6.6,71.91,0.58,101.26,4.24,6.91,2.54
Sharkia,2025-02-21,13.05,2.63,7.84,14.06,10.21,19.25,9.04,4.55,52.12,0.03,101.45,3.16,4.89,1.25
Sharkia,2025-02-22,12.46,2.65,7.55,13.19,10.03,18.7,8.67,4.62,55.31,0.04,101.55,4.16,6.51,1.29
Sharkia,2025-02-23,10.46,1.14,5.8,11.22,10.97,17.23,6.26,4.07,54.98,0.01,101.84,4.59,7.35,2.35
Sharkia,2025-02-24,10.26,2.25,6.25,10.49,10.18,16.19,6.01,4.4,60.43,0.38,102.04,3.84,6.44,1.94
Sharkia,2025-02-25,10.23,0.72,5.48,11.05,13.84,17.6,3.76,3.96,55.84,0.0,101.9,3.81,5.39,2.53
Sharkia,2025-02-26,12.11,3.41,7.76,12.77,12.99,19.79,6.8,4.79,58.96,0.0,101.67,3.97,6.19,2.32
Sharkia,2025-02-27,12.96,5.02,8.99,13.56,15.53,21.69,6.16,5.41,65.6,0.0,101.68,4.0,6.23,2.75
Sharkia,2025-02-28,14.19,5.47,9.83,14.8,14.77,22.47,7.7,5.64,62.05,0.0,101.43,2.42,3.28,1.06
South Sinai,2025-02-01,9.43,2.91,6.17,10.87,11.42,16.61,5.19,5.22,68.67,0.0,90.87,6.48,8.78,4.97
South Sinai,2025-02-02,10.78,-4.24,3.27,10.13,14.74,19.17,4.43,3.17,41.46,0.0,90.81,3.13,5.37,0.05
South Sinai,2025-02-03,15.14,-8.07,3.53,13.53,13.23,22.1,8.87,2.28,19.67,0.0,90.58,2.43,3.77,1.46
South Sinai,2025-02-04,13.97,-5.63,4.17,13.01,14.09,22.07,7.98,2.85,28.95,0.0,90.35,2.92,6.56,0.92
South Sinai,2025-02-05,9.16,3.71,6.43,9.82,9.4,14.29,4.89,5.56,71.21,0.02,90.2,5.3,8.07,1.31
South Sinai,2025-02-06,6.0,-0.64,2.68,7.15,10.47,11.54,1.07,4.08,66.09,0.01,90.24,7.82,10.93,3.58
South Sinai,2025-02-07,4.73,-0.91,1.91,6.28,12.13,11.99,-0.14,3.94,71.62,0.01,90.57,4.44,6.66,2.75
South Sinai,2025-02-08,5.37,-1.46,1.95,7.1,12.01,12.8,0.79,3.82,67.5,0.02,90.59,4.37,6.1,3.34
South Sinai,2025-02-09,5.77,-1.28,2.24,7.08,12.67,13.2,0.53,3.87,66.85,0.0,90.48,3.63,6.57,1.97
South Sinai,2025-02-10,5.94,-0.01,2.97,7.09,11.89,13.1,1.21,4.25,70.54,0.02,90.44,3.32,5.56,2.08
South Sinai,2025-02-11,6.01,-0.72,2.65,7.15,13.67,13.86,0.19,4.03,67.62,0.0,90.5,3.9,5.67,2.31
South Sinai,2025-02-12,6.14,0.15,3.14,7.62,12.27,13.59,1.32,4.3,70.73,0.07,90.71,4.63,6.59,3.27
South Sinai,2025-02-13,5.53,-1.3,2.11,6.99,12.27,12.99,0.72,3.86,67.71,0.03,90.81,5.52,7.0,3.3
South Sinai,2025-02-14,7.69,-4.04,1.82,8.89,15.41,16.69,1.28,3.2,52.22,0.01,90.61,4.59,6.26,2.39
South Sinai,2025-02-15,9.97,-8.3,0.83,9.74,16.17,19.44,3.27,2.25,31.07,0.0,90.12,3.27,5.56,2.02
South Sinai,2025-02-16,9.0,-3.19,2.91,8.91,13.58,16.94,3.36,3.36,44.58,0.0,90.23,3.34,5.6,0.98
South Sinai,2025-02-17,10.84,-5.55,2.65,9.29,11.98,18.0,6.02,2.79,33.69,0.0,90.5,2.85,6.79,0.71
South Sinai,2025-02-18,11.56,-7.32,2.12,10.94,13.14,19.88,6.74,2.4,27.99,0.0,90.58,2.08,4.58,0.17
South Sinai,2025-02-19,10.48,-3.21,3.64,10.85,13.48,18.44,4.96,3.43,42.52,0.0,90.34,3.57,6.83,2.23
South Sinai,2025-02-20,8.93,3.86,6.4,10.64,11.98,15.74,3.76,5.62,74.47,0.06,90.43,4.27,7.59,2.09
South Sinai,2025-02-21,6.67,-0.98,2.84,8.71,11.56,12.88,1.32,4.01,63.81,0.02,90.53,4.07,6.43,2.48
South Sinai,2025-02-22,5.52,-0.64,2.44,7.35,11.7,12.69,0.99,4.04,69.72,0.02,90.58,4.58,7.68,2.55
South Sinai,2025-02-23,5.47,-0.73,2.37,7.37,11.82,12.56,0.74,4.03,69.85,0.07,90.69,5.99,7.61,3.9
