city,Date,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN
Sharkia,2025-04-01,23.51,2.69,13.1,24.16,14.68,30.45,15.77,4.71,26.7,0.0,100.03,4.18,5.62,2.63
Sharkia,2025-04-02,20.93,3.13,12.03,22.29,17.27,30.09,12.82,4.85,35.7,0.0,100.74,3.79,5.06,2.61
Sharkia,2025-04-03,20.95,7.47,14.21,22.86,15.55,29.71,14.16,6.64,50.57,0.0,100.92,2.96,6.85,0.97
Sharkia,2025-04-04,19.09,8.72,13.91,20.99,14.92,27.11,12.19,7.06,57.07,0.0,100.81,3.08,6.05,1.13
Sharkia,2025-04-05,20.7,6.24,13.47,22.3,19.1,30.06,10.96,6.04,47.71,0.0,100.58,2.32,3.26,0.98
Sharkia,2025-04-06,23.3,4.85,14.07,24.11,17.72,33.25,15.53,5.57,34.95,0.0,100.26,5.29,8.03,2.27
Sharkia,2025-04-07,22.36,8.43,15.39,24.25,17.46,31.64,14.18,7.26,51.75,0.02,100.72,2.41,6.36,0.5
Sharkia,2025-04-08,26.39,2.64,14.51,26.82,21.81,38.27,16.46,4.92,29.8,0.0,100.35,5.1,11.82,1.2
Sharkia,2025-04-09,21.49,11.05,16.27,23.38,14.68,29.95,15.27,8.35,57.96,0.39,100.76,5.01,7.77,2.96
Sharkia,2025-04-10,17.12,6.23,11.67,19.07,13.41,24.49,11.08,5.97,53.15,0.36,101.17,5.14,7.93,2.53
Sharkia,2025-04-11,15.88,4.92,10.4,17.52,15.44,24.17,8.73,5.37,52.48,0.07,100.93,4.3,8.69,1.92
Sharkia,2025-04-12,17.75,6.36,12.05,19.89,16.06,25.86,9.8,6.0,53.81,0.01,100.83,3.24,5.62,2.19
Sharkia,2025-04-13,16.73,6.99,11.86,18.18,12.3,23.32,11.02,6.22,56.29,1.0,100.9,3.71,6.8,0.44
Sharkia,2025-04-14,18.45,5.68,12.06,20.39,13.39,25.69,12.3,5.75,48.31,0.01,101.32,4.28,5.22,2.34
Sharkia,2025-04-15,18.87,5.61,12.24,21.08,17.73,28.48,10.75,5.72,49.4,0.0,101.34,2.97,6.48,0.8
Sharkia,2025-04-16,18.22,6.18,12.2,19.82,17.92,27.65,9.73,5.99,54.73,0.0,101.35,4.73,7.02,2.34
Sharkia,2025-04-17,20.89,7.43,14.16,22.29,19.91,31.67,11.76,6.74,54.95,0.0,101.08,4.86,7.17,2.47
Sharkia,2025-04-18,21.71,9.33,15.52,23.04,18.98,32.26,13.28,7.6,55.48,0.0,100.81,4.8,6.84,2.48
Sharkia,2025-04-19,22.72,6.12,14.42,24.43,21.98,34.32,12.34,6.38,48.14,0.0,100.72,3.49,5.6,2.08
Sharkia,2025-04-20,23.36,8.28,15.82,25.52,21.4,34.82,13.42,7.15,50.79,0.0,100.63,3.33,6.07,1.99
