city,datetime,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Cairo,2025-06-01 00:00:00,4.0,102.81,0.0,1.71,87.23,1.36,21.85,105.59,5.74
Cairo,2025-06-01 01:00:00,3.0,102.96,0.0,1.97,85.55,1.72,20.2,89.16,6.48
Cairo,2025-06-01 02:00:00,3.0,106.02,0.0,2.7,83.87,2.73,18.91,75.76,7.95
Cairo,2025-06-01 03:00:00,3.0,111.49,0.0,3.97,81.04,4.31,17.79,64.7,10.03
Cairo,2025-06-01 04:00:00,3.0,117.1,0.0,5.47,75.34,5.58,16.72,55.19,13.54
Cairo,2025-06-01 05:00:00,2.0,122.84,0.0,6.7,69.06,5.77,16.24,49.82,17.52
Cairo,2025-06-01 06:00:00,2.0,126.73,0.0,7.49,62.99,5.46,16.16,47.43,20.33
Cairo,2025-06-01 07:00:00,2.0,128.53,0.12,8.09,58.05,5.19,16.11,46.63,22.05
Cairo,2025-06-01 08:00:00,2.0,130.1,1.18,7.31,56.89,5.65,15.6,46.7,22.97
Cairo,2025-06-01 09:00:00,2.0,130.33,2.06,5.96,60.85,6.68,15.98,49.22,22.35
Cairo,2025-06-01 10:00:00,3.0,125.62,1.47,3.93,77.59,8.86,18.05,56.88,16.54
Cairo,2025-06-01 11:00:00,3.0,121.8,0.72,2.28,97.2,8.83,20.64,62.45,14.07
Cairo,2025-06-01 12:00:00,3.0,117.76,0.32,1.24,114.37,8.45,23.05,66.96,12.05
Cairo,2025-06-01 13:00:00,3.0,108.21,0.15,0.62,115.5,5.8,19.34,62.54,6.87
Cairo,2025-06-01 14:00:00,3.0,102.77,0.11,0.44,109.89,3.94,15.83,54.38,4.19
Cairo,2025-06-01 15:00:00,3.0,100.73,0.1,0.41,108.53,3.39,14.82,50.8,3.47
Cairo,2025-06-01 16:00:00,3.0,99.8,0.1,0.43,108.37,3.09,14.39,48.61,3.08
Cairo,2025-06-01 17:00:00,3.0,98.69,0.09,0.47,108.07,2.81,13.93,46.51,2.79
Cairo,2025-06-01 18:00:00,3.0,97.85,0.08,0.56,107.11,2.54,13.26,43.8,2.57
Cairo,2025-06-01 19:00:00,3.0,98.66,0.06,1.0,105.6,2.51,12.94,42.84,3.76
Cairo,2025-06-01 20:00:00,3.0,99.85,0.01,1.66,101.55,2.64,12.56,41.84,5.75
Cairo,2025-06-01 21:00:00,2.0,100.26,0.0,1.98,96.38,2.64,11.66,38.51,7.16
Cairo,2025-06-01 22:00:00,2.0,100.41,0.0,2.05,92.31,2.55,10.64,33.99,7.86
Cairo,2025-06-01 23:00:00,2.0,101.58,0.0,2.01,91.33,3.15,10.41,33.01,7.69
Cairo,2025-06-02 00:00:00,2.0,104.87,0.0,2.4,92.37,5.95,11.66,38.97,7.62
Cairo,2025-06-02 01:00:00,2.0,109.57,0.0,3.56,89.61,10.74,12.21,40.22,8.56
Cairo,2025-06-02 02:00:00,2.0,115.42,0.0,5.01,84.38,13.34,11.31,34.93,11.48
Cairo,2025-06-02 03:00:00,2.0,119.44,0.0,5.93,78.66,13.53,10.24,30.67,13.97
Cairo,2025-06-02 04:00:00,2.0,120.51,0.0,6.26,72.9,12.61,9.97,29.39,15.34
Cairo,2025-06-02 05:00:00,2.0,121.56,0.0,6.42,68.93,11.72,10.32,30.08,16.3
Cairo,2025-06-02 06:00:00,2.0,122.35,0.0,6.54,65.17,11.02,10.86,31.66,17.19
Cairo,2025-06-02 07:00:00,2.0,121.84,0.11,7.0,61.97,10.6,11.13,33.1,17.8
Cairo,2025-06-02 08:00:00,2.0,121.9,1.02,6.49,61.87,10.85,11.03,34.59,18.1
Cairo,2025-06-02 09:00:00,2.0,121.7,1.77,5.32,65.88,11.4,11.94,36.8,17.26
Cairo,2025-06-02 10:00:00,2.0000340938568115,116.55,1.27,3.44,80.28,10.87,0.0,0.0,12.68
Cairo,2025-06-02 11:00:00,2.0,111.54,0.52,1.71,99.24,8.97,11.93,32.26,9.23
Cairo,2025-06-02 12:00:00,3.0,108.42,0.24,0.91,111.93,7.71,13.03,32.18,7.19
Cairo,2025-06-02 13:00:00,3.0,104.86,0.14,0.55,114.66,5.11,10.79,25.8,4.37
