YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,City
2025,5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,5,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,5,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,5,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,5,1,5,16.33,16.38,0.0,17.26,6.9,6.93,0.76,0.0,0.0,Aswan
2025,5,1,6,130.05,130.98,6.63,117.69,57.28,57.68,6.0,0.04,0.17,Aswan
2025,5,1,7,302.35,306.48,55.66,244.9,133.25,134.97,13.98,0.19,0.95,Aswan
2025,5,1,8,507.5,515.2,122.42,351.74,222.52,225.78,23.97,0.48,2.38,Aswan
2025,5,1,9,692.05,702.78,177.42,466.75,302.52,307.1,33.51,0.84,4.25,Aswan
2025,5,1,10,823.3,835.97,215.94,516.19,359.09,364.55,40.55,1.16,6.03,Aswan
2025,5,1,11,985.67,1001.7,480.42,434.61,436.5,443.55,55.58,1.75,9.27,Aswan
2025,5,1,12,968.03,983.85,492.18,422.22,428.58,435.5,54.4,1.69,8.88,Aswan
2025,5,1,13,884.25,891.1,433.26,437.15,392.12,394.78,49.03,1.4,7.22,Aswan
2025,5,1,14,720.78,728.72,380.44,379.58,320.2,323.35,39.06,0.94,4.72,Aswan
2025,5,1,15,507.35,515.38,287.33,283.0,225.71,228.89,26.51,0.48,2.38,Aswan
2025,5,1,16,277.15,282.6,145.98,206.42,123.4,125.63,13.89,0.15,0.75,Aswan
2025,5,1,17,91.25,92.97,20.03,82.3,40.5,41.22,4.66,0.02,0.08,Aswan
2025,5,1,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,5,1,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,5,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,5,1,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,5,1,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,5,1,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,5,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,5,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,5,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,5,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,5,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,5,2,5,23.77,24.05,12.26,24.91,10.15,10.28,1.23,0.0,0.03,Aswan
2025,5,2,6,208.55,214.35,340.51,105.55,91.5,93.79,10.05,0.06,0.32,Aswan
2025,5,2,7,452.1,461.52,568.79,166.95,199.55,203.45,23.81,0.35,1.77,Aswan
2025,5,2,8,685.42,694.78,695.0,193.45,302.0,305.93,38.31,0.86,4.22,Aswan
2025,5,2,9,876.85,884.62,779.21,205.62,385.33,388.6,50.73,1.42,7.22,Aswan
2025,5,2,10,1007.92,1013.28,824.62,217.72,441.87,444.15,59.35,1.88,9.85,Aswan
2025,5,2,11,1063.65,1066.43,834.62,217.52,464.78,465.97,62.41,2.07,11.02,Aswan
2025,5,2,12,1050.35,1050.43,835.04,205.04,458.47,458.47,61.38,2.0,10.62,Aswan
2025,5,2,13,957.35,960.58,752.51,255.63,417.83,419.1,55.12,1.66,8.57,Aswan
2025,5,2,14,795.92,802.33,678.63,250.79,347.5,350.0,44.54,1.14,5.7,Aswan
2025,5,2,15,579.67,588.75,566.63,216.15,253.0,256.5,30.97,0.59,2.92,Aswan
2025,5,2,16,333.0,342.08,384.71,171.95,144.78,148.22,16.55,0.19,0.95,Aswan
2025,5,2,17,113.6,116.07,111.45,87.4,48.72,49.5,5.5,0.02,0.1,Aswan
