YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,City
2025,6,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,6,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,6,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,6,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,6,1,5,41.78,42.2,20.82,37.59,18.17,18.35,2.15,0.01,0.03,Aswan
2025,6,1,6,230.48,233.25,280.11,138.84,102.28,103.42,11.35,0.09,0.43,Aswan
2025,6,1,7,464.8,469.02,492.74,194.83,207.22,208.97,24.72,0.38,1.9,Aswan
2025,6,1,8,686.88,691.6,635.63,210.37,305.87,307.93,38.56,0.86,4.22,Aswan
2025,6,1,9,870.05,874.17,706.34,242.37,386.55,388.3,50.49,1.4,7.07,Aswan
2025,6,1,10,995.47,998.7,748.81,259.7,441.45,442.85,58.88,1.84,9.6,Aswan
2025,6,1,11,1048.68,1050.9,765.53,259.65,464.1,465.07,62.01,2.02,10.73,Aswan
2025,6,1,12,1035.75,1036.2,790.11,207.88,458.45,458.65,61.11,1.97,10.4,Aswan
2025,6,1,13,949.97,950.6,710.07,256.8,420.85,421.1,55.36,1.65,8.52,Aswan
2025,6,1,14,800.42,801.2,655.56,242.13,355.18,355.5,45.53,1.16,5.82,Aswan
2025,6,1,15,599.03,599.9,563.06,217.08,266.28,266.63,32.72,0.64,3.12,Aswan
2025,6,1,16,367.42,368.15,412.7,177.64,163.25,163.52,18.79,0.23,1.15,Aswan
2025,6,1,17,143.82,144.12,178.05,99.37,63.3,63.42,6.99,0.03,0.15,Aswan
2025,6,1,18,10.05,10.07,0.43,13.02,4.15,4.18,0.53,0.0,0.0,Aswan
2025,6,1,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,6,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,6,1,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,6,1,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,6,1,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,6,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,6,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,6,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,6,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,6,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,6,2,5,41.3,42.4,28.71,36.35,17.77,18.25,2.1,0.01,0.03,Aswan
2025,6,2,6,224.93,232.0,306.92,124.96,99.0,101.95,10.93,0.09,0.43,Aswan
2025,6,2,7,452.62,464.83,521.61,162.43,200.95,206.15,23.84,0.37,1.88,Aswan
2025,6,2,8,670.5,684.4,645.9,191.7,297.83,303.77,37.4,0.84,4.18,Aswan
2025,6,2,9,850.33,862.85,708.25,224.67,377.55,382.93,49.08,1.38,7.0,Aswan
2025,6,2,10,974.12,983.35,738.28,249.78,432.11,436.08,57.23,1.8,9.45,Aswan
2025,6,2,11,1035.45,1040.25,798.05,226.04,459.48,461.53,61.47,2.03,10.82,Aswan
2025,6,2,12,1021.78,1021.78,804.65,190.99,453.38,453.38,60.23,1.96,10.43,Aswan
2025,6,2,13,932.35,932.58,697.79,251.18,413.93,414.0,53.99,1.62,8.43,Aswan
2025,6,2,14,777.45,777.9,614.04,251.95,345.57,345.75,43.66,1.12,5.65,Aswan
2025,6,2,15,571.53,572.12,490.9,233.16,253.9,254.12,30.59,0.6,2.95,Aswan
2025,6,2,16,339.4,339.95,315.83,185.73,150.23,150.42,17.05,0.21,1.08,Aswan
2025,6,2,17,130.6,130.77,109.84,96.96,57.33,57.38,6.46,0.03,0.15,Aswan
2025,6,2,18,9.62,9.6,0.0,11.94,3.97,3.95,0.5,0.0,0.0,Aswan
2025,6,2,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,6,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,6,2,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,6,2,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,6,2,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,6,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,6,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,6,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,6,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,6,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,6,3,5,41.95,42.22,47.38,32.56,17.52,17.6,2.09,0.01,0.03,Aswan
2025,6,3,6,234.05,235.75,377.75,110.79,101.05,101.67,11.06,0.09,0.43,Aswan
2025,6,3,7,468.77,470.83,606.72,147.72,206.32,207.15,24.36,0.38,1.9,Aswan
2025,6,3,8,689.38,691.15,731.53,161.26,305.18,305.93,38.4,0.87,4.3,Aswan
2025,6,3,9,869.95,871.33,817.19,167.06,385.3,385.87,50.53,1.42,7.25,Aswan
2025,6,3,10,994.0,995.0,852.72,172.7,439.82,440.28,59.11,1.88,9.85,Aswan
2025,6,3,11,1041.93,1042.6,930.56,154.08,458.72,459.02,61.45,2.03,10.82,Aswan
2025,6,3,12,1030.22,1030.32,900.23,143.12,452.63,452.68,60.47,1.98,10.5,Aswan
2025,6,3,13,949.22,949.6,818.8,178.56,416.22,416.37,54.83,1.66,8.62,Aswan
2025,6,3,14,805.17,806.05,772.67,173.62,351.83,352.17,45.05,1.17,5.88,Aswan
2025,6,3,15,609.12,610.55,689.29,160.12,264.45,265.03,32.28,0.64,3.17,Aswan
2025,6,3,16,380.65,382.27,544.93,133.44,163.08,163.69,18.5,0.23,1.17,Aswan
2025,6,3,17,154.35,155.35,301.97,80.16,63.92,64.27,6.93,0.03,0.17,Aswan
2025,6,3,18,11.25,11.32,6.37,12.01,4.38,4.4,0.55,0.0,0.0,Aswan
2025,6,3,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,6,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,6,3,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,6,3,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,6,3,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,6,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,6,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,6,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,6,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,6,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,6,4,5,45.03,45.25,79.25,33.93,18.22,18.27,2.14,0.01,0.03,Aswan
2025,6,4,6,240.1,241.2,415.35,105.63,101.83,102.2,11.07,0.09,0.45,Aswan
2025,6,4,7,473.23,474.42,619.49,145.99,205.11,205.55,24.11,0.39,1.92,Aswan
2025,6,4,8,692.9,693.88,727.11,166.91,302.24,302.65,37.79,0.87,4.3,Aswan
2025,6,4,9,873.15,873.83,798.49,182.06,381.33,381.63,49.58,1.41,7.22,Aswan
2025,6,4,10,997.28,997.78,819.14,203.23,435.02,435.22,57.84,1.85,9.77,Aswan
2025,6,4,11,1054.5,1054.9,864.54,187.01,458.85,458.99,61.46,2.06,11.07,Aswan
2025,6,4,12,1041.12,1041.53,876.64,173.23,452.02,452.2,60.32,2.0,10.7,Aswan
2025,6,4,13,957.3,957.75,832.42,187.58,414.87,415.05,54.51,1.68,8.75,Aswan
2025,6,4,14,810.03,810.55,768.22,180.64,349.98,350.2,44.62,1.18,5.95,Aswan
2025,6,4,15,610.83,611.45,682.95,164.46,262.08,262.32,31.8,0.65,3.17,Aswan
2025,6,4,16,380.0,380.58,530.17,139.88,160.44,160.64,18.1,0.23,1.17,Aswan
2025,6,4,17,153.07,153.38,290.4,81.13,62.19,62.3,6.79,0.03,0.17,Aswan
2025,6,4,18,11.3,11.32,6.73,11.77,4.4,4.4,0.55,0.0,0.0,Aswan
2025,6,4,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
