YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,City
2025,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,1,6,35.35,35.83,133.35,25.34,13.27,13.4,1.53,0.01,0.03,Aswan
2025,3,1,7,258.45,262.17,663.08,72.87,107.58,108.95,11.5,0.08,0.4,Aswan
2025,3,1,8,507.77,512.4,841.44,101.16,216.7,218.55,26.0,0.39,1.95,Aswan
2025,3,1,9,719.9,724.1,943.26,106.58,309.3,311.05,39.6,0.86,4.22,Aswan
2025,3,1,10,873.42,876.7,984.39,115.88,375.99,377.4,49.84,1.31,6.57,Aswan
2025,3,1,11,937.15,939.4,906.23,170.44,400.88,401.8,52.63,1.49,7.57,Aswan
2025,3,1,12,942.08,943.42,892.98,179.53,403.3,403.88,53.04,1.5,7.68,Aswan
2025,3,1,13,867.95,868.2,882.68,163.58,371.64,371.75,48.24,1.26,6.35,Aswan
2025,3,1,14,718.65,719.62,832.18,151.6,307.37,307.77,38.69,0.84,4.15,Aswan
2025,3,1,15,510.25,511.4,728.21,137.36,217.07,217.55,25.83,0.4,1.98,Aswan
2025,3,1,16,264.85,265.75,528.85,98.16,110.47,110.82,11.97,0.09,0.45,Aswan
2025,3,1,17,41.95,42.08,90.41,31.24,16.56,16.6,1.93,0.01,0.03,Aswan
2025,3,1,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,1,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,1,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,1,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,1,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,2,6,37.22,38.28,138.34,26.67,14.17,14.45,1.6,0.01,0.03,Aswan
2025,3,2,7,260.12,265.67,620.22,81.61,110.57,112.7,11.84,0.07,0.38,Aswan
2025,3,2,8,506.17,511.45,836.99,99.67,219.72,221.88,26.48,0.37,1.85,Aswan
2025,3,2,9,716.28,719.9,944.3,105.36,312.27,313.8,40.13,0.82,4.0,Aswan
2025,3,2,10,869.0,871.17,962.85,120.47,378.65,379.58,50.34,1.25,6.2,Aswan
2025,3,2,11,938.08,939.47,923.95,156.18,405.92,406.49,53.81,1.45,7.25,Aswan
2025,3,2,12,942.28,943.03,921.19,156.83,407.22,407.52,54.0,1.46,7.3,Aswan
2025,3,2,13,866.33,866.4,918.4,137.8,374.4,374.45,48.92,1.21,6.0,Aswan
2025,3,2,14,717.55,717.7,866.36,130.5,309.78,309.83,39.15,0.8,3.92,Aswan
2025,3,2,15,509.98,510.15,762.86,120.5,218.88,218.95,26.04,0.37,1.88,Aswan
2025,3,2,16,266.17,266.33,570.42,88.39,111.85,111.93,12.04,0.08,0.4,Aswan
2025,3,2,17,43.12,43.15,125.86,30.16,16.83,16.83,1.94,0.01,0.03,Aswan
2025,3,2,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,2,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,2,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,2,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,2,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,3,6,35.45,36.9,65.97,33.84,13.7,13.95,1.62,0.0,0.03,Aswan
2025,3,3,7,246.15,258.9,456.38,118.82,103.42,108.1,11.35,0.06,0.3,Aswan
2025,3,3,8,493.12,507.3,704.99,153.8,210.96,216.6,25.33,0.32,1.62,Aswan
2025,3,3,9,707.17,717.92,838.2,156.65,304.2,308.65,38.66,0.72,3.5,Aswan
2025,3,3,10,865.7,871.5,898.6,165.51,372.33,374.73,48.83,1.11,5.43,Aswan
2025,3,3,11,945.92,946.3,913.46,159.74,405.72,405.88,53.54,1.33,6.55,Aswan
2025,3,3,12,935.7,949.42,852.05,204.12,401.52,407.42,52.96,1.32,6.55,Aswan
2025,3,3,13,859.92,871.85,837.17,195.81,369.2,374.23,48.03,1.1,5.38,Aswan
2025,3,3,14,684.4,721.5,659.84,230.22,294.55,309.24,37.12,0.7,3.45,Aswan
2025,3,3,15,331.7,511.65,167.12,236.03,144.85,218.1,18.16,0.25,1.25,Aswan
2025,3,3,16,160.9,265.42,82.68,127.51,70.08,110.73,8.48,0.05,0.28,Aswan
2025,3,3,17,28.23,42.78,11.02,28.39,11.63,16.65,1.41,0.0,0.03,Aswan
2025,3,3,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,3,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,3,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,3,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,3,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,4,6,34.55,35.22,54.9,30.78,13.83,14.02,1.64,0.0,0.03,Aswan
2025,3,4,7,243.35,247.93,431.82,112.29,102.46,104.02,11.2,0.06,0.32,Aswan
2025,3,4,8,483.42,488.58,639.23,154.15,207.55,209.47,24.58,0.33,1.65,Aswan
2025,3,4,9,693.67,697.38,739.19,177.67,299.37,300.78,37.4,0.72,3.55,Aswan
2025,3,4,10,845.78,847.92,774.09,215.38,365.5,366.31,47.0,1.11,5.45,Aswan
2025,3,4,11,943.9,944.83,885.91,179.93,410.17,410.52,54.52,1.42,7.07,Aswan
2025,3,4,12,942.88,942.88,868.96,183.51,409.3,409.3,54.15,1.41,7.0,Aswan
2025,3,4,13,861.9,861.9,815.41,194.08,374.18,374.17,48.6,1.16,5.7,Aswan
2025,3,4,14,705.72,705.75,727.36,187.69,306.15,306.18,38.38,0.75,3.67,Aswan
2025,3,4,15,489.5,489.55,564.77,185.71,211.77,211.78,25.09,0.34,1.73,Aswan
2025,3,4,16,243.3,243.35,324.8,130.55,104.15,104.18,11.48,0.07,0.35,Aswan
2025,3,4,17,38.88,38.88,17.29,34.67,16.22,16.22,1.92,0.01,0.03,Aswan
2025,3,4,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,4,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,4,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,4,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,4,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,3,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
